venture_id,name,sector,development_stage,entity_status,has_repo,has_revenue_model,capability_coverage_pct,readiness_pct,readiness_tier,repo_key,stage_verified,development_stage_v1_self_reported,development_stage_v2_computed,readiness_pct_v1,readiness_pct_v2
EDU-017-AI-Coding-Tutor,Ai Coding Tutor,education,growth,pending_formation,True,True,10.0,55.0,Building / MVP,edu-017-ai-coding-tutor,True,growth,validation,55.0,35.8
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,growth,pending_formation,True,True,0.0,51.5,Building / MVP,fin-036-arbitrage-nexus-platform,True,growth,planned,51.5,23.5
EC-044-Live-Commerce-Platform,Live Commerce Platform,e-commerce,growth,pending_formation,True,True,0.0,51.5,Building / MVP,ec-044-live-commerce-platform,True,growth,planned,51.5,23.5
EC-046-3D-Product-Viewer,3D Product Viewer,e-commerce,growth,pending_formation,True,True,0.0,51.5,Building / MVP,ec-046-3d-product-viewer,True,growth,planned,51.5,23.5
FS-013-Fitness-Apparel,Fitness Apparel,fitness-sports,mvp,pending_formation,True,True,11.1,46.6,Building / MVP,fs-013-fitness-apparel,True,mvp,validation,46.6,36.1
FH-001-Personal-Chef-Service,Personal Chef Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-001-personal-chef-service,True,mvp,planned,42.8,23.5
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-002-meal-prep-delivery,True,mvp,planned,42.8,23.5
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-005-corporate-lunch-service,True,mvp,planned,42.8,23.5
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-006-healthy-meal-prep-for-gyms,True,mvp,planned,42.8,23.5
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-008-athlete-nutrition-service,True,mvp,planned,42.8,23.5
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-011-sauce-or-seasoning-brand,True,mvp,planned,42.8,23.5
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-012-protein-snacks-brand,True,mvp,planned,42.8,23.5
FH-016-Recipe-App,Recipe App,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-016-recipe-app,True,mvp,planned,42.8,23.5
FH-017-Cooking-Content-Brand,Cooking Content Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-017-cooking-content-brand,True,mvp,planned,42.8,23.5
FH-018-Food-Influencer-Brand,Food Influencer Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-018-food-influencer-brand,True,mvp,planned,42.8,23.5
FH-019-Cooking-Course-Platform,Cooking Course Platform,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-019-cooking-course-platform,True,mvp,planned,42.8,23.5
FH-024-Juice-Bar,Juice Bar,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-024-juice-bar,True,mvp,planned,42.8,23.5
FH-030-Organic-Food-Brand,Organic Food Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-030-organic-food-brand,True,mvp,planned,42.8,23.5
FH-031-Vegan-Food-Company,Vegan Food Company,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-031-vegan-food-company,True,mvp,planned,42.8,23.5
FH-032-Keto-Meal-Service,Keto Meal Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-032-keto-meal-service,True,mvp,planned,42.8,23.5
FH-033-Food-Photography-Service,Food Photography Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP,fh-033-food-photography-service,True,mvp,planned,42.8,23.5
