agent_name,sector,repo_name,repo_category,responsibility_type,escalation_threshold
qwen-real-estate,RE,ace-community-impact-templates,aligned-venture,primary,$50K
qwen-emerging-markets,EM,ace-ecommerce-templates,aligned-venture,primary,$50K
qwen-emerging-markets,EM,acquisition-vehicle-automation,aligned-venture,primary,$50K
qwen-finance,FIN,ai-001-ai-command-center,aligned-venture,primary,$50K
qwen-finance,FIN,ai-002-api,aligned-venture,primary,$50K
qwen-construction,CON,billionaire-brain-assistant,aligned-venture,primary,$50K
qwen-construction,CON,billionaire-consciousness-empire,aligned-venture,primary,$50K
qwen-finance,FIN,business-template-marketplace,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-contracts,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-lash-extension-studio,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-up-next,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-up-next-business,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-up-next-code,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-001-up-next-web,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-002-mobile-lash-service,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-003-luxury-lash-bar,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-004-lash-training-academy,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-005-lash-supply-company,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-006-lash-glue-brand,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-007-lash-kits---tools,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-008-private-label-lashes,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-009-franchise-lash-salons,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-010-online-lash-education,aligned-venture,primary,$50K
qwen-beauty-wellness,BW,bw-011-nail-salon,aligned-venture,primary,$50K
