repo_owner_name,repo_name,is_private,description,language,stars,ventures_using,venture_ids,venture_names,status
Worldwidebro/ai-002-ml-engine,ai-002-ml-engine,True,Machine learning models and training pipelines for CogniFlow.,,0,0,,,unaligned
Worldwidebro/ai-002-web-app,ai-002-web-app,True,Frontend application for CogniFlow's workflow management.,,0,0,,,unaligned
Worldwidebro/ai-boss-holdings-v4,ai-boss-holdings-v4,True,AI Boss Holdings platform v4,Python,0,0,,,unaligned
Worldwidebro/ai-business-commander,ai-business-commander,True,AI-powered business management command center,TypeScript,0,0,,,unaligned
Worldwidebro/ai-venture-studio-template,ai-venture-studio-template,True,Template for creating AI-powered venture studios,Python,0,0,,,unaligned
Worldwidebro/aibossoslandingpage,aibossoslandingpage,True,AI Boss Holdings landing page,Python,0,0,,,unaligned
Worldwidebro/arbitrage-nexus,arbitrage-nexus,True,Arbitrage opportunity detection and execution platform,TypeScript,0,0,,,unaligned
Worldwidebro/autonomous-venture-studio,autonomous-venture-studio,True,Core business logic & orchestration system for autonomous venture studio,Python,0,0,,,unaligned
Worldwidebro/avs-omni,avs-omni,True,IZA OS: avs-omni,Python,0,0,,,unaligned
Worldwidebro/Avs-Omni-,Avs-Omni-,True,The operating system for an autonomous venture studio,Python,0,0,,,unaligned
Worldwidebro/babystepsmatrix1,babystepsmatrix1,True,Archive: Old project (candidate for deletion),TypeScript,0,0,,,unaligned
Worldwidebro/billionaire-workflow-automation,billionaire-workflow-automation,True,Workflow automation for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/civilization-os,civilization-os,False,"🌍 Civilization OS - Master orchestrator for the entire IZA-OS ecosystem, managing 101 genius folders",TypeScript,0,0,,,unaligned
Worldwidebro/civilization-website,civilization-website,True,"Full-stack website built with React, Vite, and Supabase - Part of Civilization OS integration",,0,0,,,unaligned
Worldwidebro/claude-workflow-demo,claude-workflow-demo,True,Demo of Claude PR review automation with GitHub Actions,Shell,0,0,,,unaligned
Worldwidebro/clients,clients,True,"Client management, agreements, onboarding systems, and lead generation",HTML,0,0,,,unaligned
Worldwidebro/consciousness-deployment-system,consciousness-deployment-system,True,Autonomous deployment system for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/consult-001-venture-consulting,consult-001-venture-consulting,True,"Civilization OS: Strategy + operations consulting for 749 ventures (growth, M&A, board advisory)",,0,0,,,unaligned
Worldwidebro/consulting-services-automation,consulting-services-automation,True,Consulting and advisory automation for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/data-management,data-management,True,Unified data schemas and management systems,,0,0,,,unaligned
Worldwidebro/deployment-orchestrator,deployment-orchestrator,True,Complete Docker & deployment automation system,Python,0,0,,,unaligned
Worldwidebro/design-system,design-system,True,,Shell,0,0,,,unaligned
Worldwidebro/design-team,design-team,True,"Design system, brand guidelines, and 250+ prompts for venture studio",JavaScript,0,0,,,unaligned
Worldwidebro/ec-111-tve-fragrance,ec-111-tve-fragrance,True,,Python,0,0,,,unaligned
