venture_id,venture_name,prefix,shared_services,infrastructure_repos,service_count
FIN-001-GenixBank-Lite,Genixbank Lite,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-002-Credit-Repair-Automation,Credit Repair Automation,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-007-Business-Credit-Building,Business Credit Building,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-008-Business-Formation-Services,Business Formation Services,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-013-Charity-Donation-AI,Charity Donation Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-016-Trade-Finance-AI,Trade Finance Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-017-Remittance-AI,Remittance Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-024-Crowdfunding-AI,Crowdfunding Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-025-Escrow-Automation,Escrow Automation,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-027-Patent-Writer-AI,Patent Writer Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-034-Payroll-Automation,Payroll Automation,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,FIN,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,4
BW-001-Lash-Extension-Studio,Lash Extension Studio,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-002-Mobile-Lash-Service,Mobile Lash Service,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-004-Lash-Training-Academy,Lash Training Academy,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-005-Lash-Supply-Company,Lash Supply Company,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-006-Lash-Glue-Brand,Lash Glue Brand,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,BW,shared-kernels|genixbank-financial-system|iza-os-financial-core|iza-os-analytics|iza-os-hr-core,deployment-orchestrator|iza-os-api-gateway|iza-os-cybersecurity-monitoring-bot,5
