ID,Name,Sector,Stage,GitHub URL
null,Genixbank Lite,Financial,planned,https://github.com/Worldwidebro/fin-001-genixbank-lite
null,Credit Repair Automation,Financial,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation
null,Ai Boss Hub Lite,Financial,planned,https://github.com/Worldwidebro/fin-003-ai-boss-hub-lite
null,Genixbanks Ai Treasurer,Financial,planned,https://github.com/Worldwidebro/fin-004-genixbanks-ai-treasurer
null,U Haul Rental Affiliate,Financial,planned,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate
null,Tax Prep Filing Services,Financial,planned,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services
null,Business Credit Building,Financial,planned,https://github.com/Worldwidebro/fin-007-business-credit-building
null,Business Formation Services,Financial,planned,https://github.com/Worldwidebro/fin-008-business-formation-services
null,Crypto Tax Optimizer,Financial,planned,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer
null,Ai Powered Garbage Collection,Financial,planned,https://github.com/Worldwidebro/fin-010-ai-powered-garbage-collection
null,Automated Bookkeeping,Financial,planned,https://github.com/Worldwidebro/fin-011-automated-bookkeeping
null,Invoice Factoring Ai,Financial,planned,https://github.com/Worldwidebro/fin-012-invoice-factoring-ai
null,Charity Donation Ai,Financial,planned,https://github.com/Worldwidebro/fin-013-charity-donation-ai
null,Expense Tracker Ai,Financial,planned,https://github.com/Worldwidebro/fin-014-expense-tracker-ai
null,Financial Wellness Coach,Financial,planned,https://github.com/Worldwidebro/fin-015-financial-wellness-coach
null,Trade Finance Ai,Financial,planned,https://github.com/Worldwidebro/fin-016-trade-finance-ai
null,Remittance Ai,Financial,planned,https://github.com/Worldwidebro/fin-017-remittance-ai
null,Wealth Transfer Ai,Financial,planned,https://github.com/Worldwidebro/fin-018-wealth-transfer-ai
null,Payment Gateway Ai,Financial,planned,https://github.com/Worldwidebro/fin-019-payment-gateway-ai
null,Debt Consolidation Ai,Financial,planned,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai
null,Tax Deduction Finder,Financial,planned,https://github.com/Worldwidebro/fin-021-tax-deduction-finder
null,Budget Forecasting Ai,Financial,planned,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai
null,Investment Portfolio Ai,Financial,planned,https://github.com/Worldwidebro/fin-023-investment-portfolio-ai
null,Crowdfunding Ai,Financial,planned,https://github.com/Worldwidebro/fin-024-crowdfunding-ai
null,Escrow Automation,Financial,planned,https://github.com/Worldwidebro/fin-025-escrow-automation
null,Financial Compliance Scanner,Financial,planned,https://github.com/Worldwidebro/fin-026-financial-compliance-scanner
null,Patent Writer Ai,Financial,planned,https://github.com/Worldwidebro/fin-027-patent-writer-ai
null,Legal Analyzer Ai,Financial,planned,https://github.com/Worldwidebro/fin-028-legal-analyzer-ai
null,Compliance Wallet Saas,Financial,planned,https://github.com/Worldwidebro/fin-029-compliance-wallet-saas
null,Local Seo Ranker Ai,Financial,planned,https://github.com/Worldwidebro/fin-030-local-seo-ranker-ai
null,Investor Dashboard Builder,Financial,planned,https://github.com/Worldwidebro/fin-031-investor-dashboard-builder
null,Legal Toolkit Ai,Financial,planned,https://github.com/Worldwidebro/fin-032-legal-toolkit-ai
null,Ai Tax Preparation Service,Financial,planned,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service
null,Payroll Automation,Financial,planned,https://github.com/Worldwidebro/fin-034-payroll-automation
null,Insurance Underwriting Ai,Financial,planned,https://github.com/Worldwidebro/fin-035-insurance-underwriting-ai
null,Arbitrage Nexus Platform,Financial,growth,https://github.com/Worldwidebro/fin-036-arbitrage-nexus-platform
null,Lash Extension Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-001-lash-extension-studio
null,Mobile Lash Service,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-002-mobile-lash-service
null,Luxury Lash Bar,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-003-luxury-lash-bar
null,Lash Training Academy,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-004-lash-training-academy
null,Lash Supply Company,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-005-lash-supply-company
null,Lash Glue Brand,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-006-lash-glue-brand
null,Lash Kits & Tools,Beauty Wellness,mvp,https://github.com/zquestz/s
null,Private Label Lashes,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-008-private-label-lashes
null,Franchise Lash Salons,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-009-franchise-lash-salons
null,Online Lash Education,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-010-online-lash-education
null,Nail Salon,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-011-nail-salon
null,Mobile Nail Tech,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-012-mobile-nail-tech
null,Luxury Nail Spa,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-013-luxury-nail-spa
null,Press On Nail Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-014-press-on-nail-brand
null,Nail Art Studio,Beauty Wellness,validation,https://github.com/Worldwidebro/bw-015-nail-art-studio
null,Nail Polish Brand,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-016-nail-polish-brand
null,Nail Care Products,Beauty Wellness,mvp,https://github.com/Worldwidebro/bw-017-nail-care-products
null,Nail Booking Marketplace,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-018-nail-booking-marketplace
null,Salon Management Software,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-019-salon-management-software
null,Ai Nail Design Generator,Beauty Wellness,planned,https://github.com/Worldwidebro/bw-020-ai-nail-design-generator
