ID,Name,Sector,Stage,GitHub URL,GitHub Pages URL,Repo Match
null,Genixbank Lite,Financial,planned,https://github.com/Worldwidebro/fin-001-genixbank-lite,https://worldwidebro.github.io/genixbank-lite/,fin-001-genixbank-lite
null,Credit Repair Automation,Financial,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation,https://worldwidebro.github.io/credit-repair-automation/,fin-002-credit-repair-automation
null,Ai Boss Hub Lite,Financial,planned,https://github.com/Worldwidebro/fin-003-ai-boss-hub-lite,https://worldwidebro.github.io/ai-boss-hub-lite/,fin-003-ai-boss-hub-lite
null,Genixbanks Ai Treasurer,Financial,planned,https://github.com/Worldwidebro/fin-004-genixbanks-ai-treasurer,https://worldwidebro.github.io/genixbanks-ai-treasurer/,fin-004-genixbanks-ai-treasurer
null,U Haul Rental Affiliate,Financial,planned,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate,https://worldwidebro.github.io/u-haul-rental-affiliate/,fin-005-u-haul-rental-affiliate
null,Tax Prep Filing Services,Financial,planned,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services,https://worldwidebro.github.io/tax-prep-filing-services/,fin-006-tax-prep-filing-services
null,Business Credit Building,Financial,planned,https://github.com/Worldwidebro/fin-007-business-credit-building,https://worldwidebro.github.io/business-credit-building/,fin-007-business-credit-building
null,Business Formation Services,Financial,planned,https://github.com/Worldwidebro/fin-008-business-formation-services,https://worldwidebro.github.io/business-formation-services/,fin-008-business-formation-services
null,Crypto Tax Optimizer,Financial,planned,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer,https://worldwidebro.github.io/crypto-tax-optimizer/,fin-009-crypto-tax-optimizer
null,Ai Powered Garbage Collection,Financial,planned,https://github.com/Worldwidebro/fin-010-ai-powered-garbage-collection,https://worldwidebro.github.io/ai-powered-garbage-collection/,fin-010-ai-powered-garbage-collection
null,Automated Bookkeeping,Financial,planned,https://github.com/Worldwidebro/fin-011-automated-bookkeeping,https://worldwidebro.github.io/automated-bookkeeping/,fin-011-automated-bookkeeping
