ID,Name,Original_Sector,Canonical_Sector,Original_Stage,Canonical_Stage,GitHub_URL
null,Genixbank Lite,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-001-genixbank-lite
null,Credit Repair Automation,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation
null,Ai Boss Hub Lite,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-003-ai-boss-hub-lite
null,Genixbanks Ai Treasurer,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-004-genixbanks-ai-treasurer
null,U Haul Rental Affiliate,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate
null,Tax Prep Filing Services,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services
null,Business Credit Building,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-007-business-credit-building
null,Business Formation Services,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-008-business-formation-services
null,Crypto Tax Optimizer,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer
null,Ai Powered Garbage Collection,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-010-ai-powered-garbage-collection
null,Automated Bookkeeping,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-011-automated-bookkeeping
null,Invoice Factoring Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-012-invoice-factoring-ai
null,Charity Donation Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-013-charity-donation-ai
null,Expense Tracker Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-014-expense-tracker-ai
null,Financial Wellness Coach,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-015-financial-wellness-coach
null,Trade Finance Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-016-trade-finance-ai
null,Remittance Ai,Financial,Financial Services,planned,planned,https://github.com/Worldwidebro/fin-017-remittance-ai
