company_name,primary_sector,annual_revenue_est,hq_city,hq_state,contact_name,contact_title,phone,email,bidding_status,target_trades
"Rodgers Builders Inc","Healthcare & Commercial TI","$450M+","Charlotte","NC","Mark Henderson","VP of Preconstruction","(704) 537-6044","estimating@rodgersbuilders.com","Active Sub Invites","Div 09, Div 26, Div 23"
"Shelco LLC","Commercial Office & Industrial","$380M+","Charlotte","NC","David Vance","Chief Estimator","(704) 525-6677","bids@shelco.com","Active Sub Invites","Div 02, Div 09, Div 06"
"Edifice LLC","Commercial & Institutional","$250M+","Charlotte","NC","Bradley Thompson","Director of Precon","(704) 332-0900","estimating@edificeinc.com","Open to Bids","Div 09, Div 22, Div 26"
"Barringer Construction","Corporate Interiors & Life Science","$180M+","Charlotte","NC","Sarah Jenkins","Senior Estimator","(704) 334-7221","estimating@barringerconstruction.com","Active Sub Invites","Div 09, Div 08, Div 26"
"Myers & Chapman Inc","Commercial & Industrial Flex","$140M+","Charlotte","NC","Kevin Miller","VP of Estimating","(704) 372-4230","estimating@myers-chapman.com","Open to Bids","Div 03, Div 09, Div 23"
"Choate Construction (Carolinas)","Commercial, Industrial & Mixed-Use","$550M+","Charlotte","NC","Anthony Wright","Director of Trade Partnerships","(704) 556-0550","subcontractors@choateco.com","Active Sub Invites","Div 09, Div 22, Div 26"
"Vannoy Construction","Commercial, Education & Healthcare","$600M+","Charlotte","NC","Jason Reynolds","Lead Precon Manager","(704) 494-0800","estimating@jrvannoy.com","Open to Bids","Div 09, Div 06, Div 26"
"Balfour Beatty Carolinas","Large Commercial & High-Rise","$800M+","Charlotte","NC","Christopher Davis","Senior Estimating Director","(704) 334-0040","clt-estimating@balfourbeattyus.com","Active Sub Invites","Div 09, Div 23, Div 26"
"Brasfield & Gorrie Carolinas","Healthcare & Life Sciences","$750M+","Charlotte","NC","Matthew Robinson","Chief Estimator","(704) 333-5188","carolinas-bids@brasfieldgorrie.com","Open to Bids","Div 09, Div 22, Div 26"
"Whiting-Turner Charlotte","Retail & Commercial Tenant Fit-out","$500M+","Charlotte","NC","Daniel Clark","Procurement Manager","(704) 334-4443","charlotte.bids@whiting-turner.com","Active Sub Invites","Div 09, Div 06, Div 26"
"Harkins Builders Charlotte","Multifamily & Commercial Mixed-Use","$120M+","Charlotte","NC","Rachel Adams","Director of Estimating","(704) 790-2800","ncestimating@harkinsbuilders.com","Open to Bids","Div 06, Div 09, Div 26"
"Messer Construction Charlotte","Higher Ed & Healthcare","$320M+","Charlotte","NC","Brian Lewis","Precon Leader","(704) 679-6000","charlottebids@messer.com","Active Sub Invites","Div 09, Div 23, Div 26"
