Filename,Size,Modified,Category,Path
._.registry,N/A,2026-09-01 09:04,._.registry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._.registry
._.registry,N/A,2026-09-01 10:05,._.registry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._.registry
._acp-registry-cache.json,N/A,2026-09-01 09:26,._acp-registry-cache.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._acp-registry-cache.json
._agentregistry-api.json,N/A,2026-09-01 09:06,._agentregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry-api.json
._agentregistry-api.json,N/A,2026-09-01 09:08,._agentregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry-api.json
._agentregistry-gen.go,N/A,2026-09-01 09:06,._agentregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry-gen.go
._agentregistry-gen.go,N/A,2026-09-01 09:08,._agentregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry-gen.go
._agentregistry,N/A,2026-09-01 09:06,._agentregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry
._agentregistry,N/A,2026-09-01 09:08,._agentregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._agentregistry
._apigeeregistry-api.json,N/A,2026-09-01 09:06,._apigeeregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry-api.json
._apigeeregistry-api.json,N/A,2026-09-01 09:08,._apigeeregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry-api.json
._apigeeregistry-gen.go,N/A,2026-09-01 09:06,._apigeeregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry-gen.go
._apigeeregistry-gen.go,N/A,2026-09-01 09:08,._apigeeregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry-gen.go
._apigeeregistry,N/A,2026-09-01 09:06,._apigeeregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry
._apigeeregistry,N/A,2026-09-01 09:08,._apigeeregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry
._apigeeregistry,N/A,2026-09-01 09:09,._apigeeregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._apigeeregistry
._artifactregistry-api.json,N/A,2026-09-01 09:06,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-api.json,N/A,2026-09-01 09:06,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-api.json,N/A,2026-09-01 09:06,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-api.json,N/A,2026-09-01 09:08,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-api.json,N/A,2026-09-01 09:08,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-api.json,N/A,2026-09-01 09:08,._artifactregistry-api.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-api.json
._artifactregistry-gen.go,N/A,2026-09-01 09:06,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry-gen.go,N/A,2026-09-01 09:06,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry-gen.go,N/A,2026-09-01 09:06,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry-gen.go,N/A,2026-09-01 09:08,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry-gen.go,N/A,2026-09-01 09:08,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry-gen.go,N/A,2026-09-01 09:08,._artifactregistry-gen.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry-gen.go
._artifactregistry,N/A,2026-09-01 09:06,._artifactregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry
._artifactregistry,N/A,2026-09-01 09:08,._artifactregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry
._artifactregistry,N/A,2026-09-01 09:09,._artifactregistry,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._artifactregistry
._audit_consent,N/A,2026-09-01 09:22,._audit_consent,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_consent
._audit_context.pb.go,N/A,2026-09-01 09:07,._audit_context.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_context.pb.go
._audit_context.pb.go,N/A,2026-09-01 09:07,._audit_context.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_context.pb.go
._audit_context.pb.go,N/A,2026-09-01 09:07,._audit_context.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_context.pb.go
._audit_data.pb.go,N/A,2026-09-01 09:05,._audit_data.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_data.pb.go
._audit_data.pb.go,N/A,2026-09-01 09:09,._audit_data.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_data.pb.go
._audit_data.pb.go,N/A,2026-09-01 09:09,._audit_data.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_data.pb.go
._audit_data.pb.go,N/A,2026-09-01 09:09,._audit_data.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_data.pb.go
._audit_data.pb.go,N/A,2026-09-01 09:09,._audit_data.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_data.pb.go
._audit_log.pb.go,N/A,2026-09-01 09:09,._audit_log.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_log.pb.go
._audit_logger.go,N/A,2026-09-01 09:07,._audit_logger.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_logger.go
._audit_logger.go,N/A,2026-09-01 09:07,._audit_logger.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_logger.go
._audit_logging_test.go,N/A,2026-09-01 09:07,._audit_logging_test.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_logging_test.go
._audit_logging_test.go,N/A,2026-09-01 09:07,._audit_logging_test.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_logging_test.go
._audit_logs.html,N/A,2026-09-01 10:43,._audit_logs.html,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_logs.html
._audit_report.md,N/A,2026-09-01 10:42,._audit_report.md,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_report.md
._audit_test.go,N/A,2026-09-01 09:20,._audit_test.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_test.go
._audit_transparency,N/A,2026-09-01 09:22,._audit_transparency,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_transparency
._audit_ventures.py,N/A,2026-09-01 10:41,._audit_ventures.py,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit_ventures.py
._audit-sync-mode-complexity.md,N/A,2026-09-01 09:20,._audit-sync-mode-complexity.md,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit-sync-mode-complexity.md
._audit,N/A,2026-09-01 09:07,._audit,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit
._audit,N/A,2026-09-01 09:07,._audit,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit
._audit,N/A,2026-09-01 09:09,._audit,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit
._audit,N/A,2026-09-01 09:19,._audit,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit
._audit.go,N/A,2026-09-01 09:16,._audit.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit.go
._audit.go,N/A,2026-09-01 09:19,._audit.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit.go
._audit.go,N/A,2026-09-01 09:20,._audit.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit.go
._audit.md,N/A,2026-09-01 09:19,._audit.md,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audit.md
._audits,N/A,2026-09-01 10:05,._audits,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._audits
._awesome-mcp-registry (from ObsidianVault).md,N/A,2026-09-01 09:28,._awesome-mcp-registry (from ObsidianVault).md,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._awesome-mcp-registry (from ObsidianVault).md
._awesome-mcp-registry.md,N/A,2026-09-01 09:28,._awesome-mcp-registry.md,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._awesome-mcp-registry.md
._bigquery_audit_metadata.pb.go,N/A,2026-09-01 09:09,._bigquery_audit_metadata.pb.go,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._bigquery_audit_metadata.pb.go
._campaign-registry.json,N/A,2026-09-01 10:41,._campaign-registry.json,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._campaign-registry.json
._cloudauditlogging,N/A,2026-09-01 09:09,._cloudauditlogging,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._cloudauditlogging
