state_id,state_name,state_code,fips_code,primary_geo_unit,county_count,core_records_ingested,statewide_gis_portal,dominant_assessor_system,dominant_deed_system,update_frequency,ingestion_method,auth_requirement,annual_cost_usd,licensing_terms
FED-000,Federal Data Layer,US,00,Federal Jurisdictions,0,"HUD, FHA, FHFA, Fannie Mae, Freddie Mac, Census ACS, TIGER, BEA, BLS, FRED, FEMA, EPA",https://catalog.data.gov/,Federal APIs (Census/HUD/FRED),Federal Court PACER / SEC EDGAR,Monthly / Quarterly,REST API / S3 Bulk Download,Free API Key / Open,0,Public Domain (U.S. Gov Work)
STA-001,Alabama,AL,01,Counties,67,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens, Foreclosures",https://open-al-algeo.hub.arcgis.com/,Tyler Technologies / Delta Computer Systems,County Probate Courts,Quarterly,ArcGIS REST API / Bulk Shapefile,Open / Public,0,Public Domain (FOIA / Open Data)
STA-002,Alaska,AK,02,Boroughs/Census Areas,19,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens",https://gis.data.alaska.gov/,Local Borough GIS / Tyler Tech,Alaska DNR Recorder of Deeds,Bi-Annual,ArcGIS REST API / WFS,Open / Public,0,Public Domain (FOIA / Open Data)
STA-003,Arizona,AZ,04,Counties,15,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens, Water Rights",https://azgeo-open-data-agic.hub.arcgis.com/,Esri ArcGIS / Tyler Technologies,County Recorders,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Public Domain (FOIA / Open Data)
STA-004,Arkansas,AR,05,Counties,75,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens",https://gis.arkansas.gov/,Arkansas GIS Office / Act 1109,Circuit Clerk / Recorder of Deeds,Quarterly,ArcGIS Feature Service / Download,Open / Public,0,Public Domain (FOIA / Open Data)
STA-005,California,CA,06,Counties,58,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens, Rent Caps, ADU",https://gis.data.ca.gov/,Megabyte Systems / Tyler Technologies,County Clerk-Recorders,Monthly,ArcGIS REST API / CKAN,Open / Public,0,Public Domain (CA Public Records Act)
STA-006,Colorado,CO,08,Counties,64,"Parcels, Owners, Deeds, Assessments, Taxes, Permits, Zoning, Liens, Mineral Rights",https://colorado-geospatial-portal-co-geocox.hub.arcgis.com/,Harris Govern / Tyler Technologies,County Clerk and Recorders,Quarterly,ArcGIS REST API / Open Data,Open / Public,0,Public Domain (CORA)
STA-007,Connecticut,CT,09,Counties/Municipalities,169,"Parcels, Deeds, Assessments, Grand Lists, Permits, Zoning",https://geodata.ct.gov/,Vision Government Solutions / Quality Data,Town Clerks,Annual / Grand List,ArcGIS REST API / GeoJSON,Open / Public,0,Public Domain (FOIA)
STA-008,Delaware,DE,10,Counties,3,"Parcels, Deeds, Taxes, Permits, Zoning, Transfer Tax",https://firstmap.delaware.gov/,FirstMap Delaware / Tyler Tech,County Recorders of Deeds,Monthly,ArcGIS Feature Server / WFS,Open / Public,0,Public Domain (DE Open Data)
STA-009,Florida,FL,12,Counties,67,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Liens, HOA, Tax Deeds",https://geodata.floridadisaster.org/,FL Dept of Revenue Cadastral / Tyler Tech,County Clerks of Circuit Court,Monthly,ArcGIS REST API / FTP Bulk NAL,Open / Public,0,Florida Sunshine Law (Chapter 119)
STA-010,Georgia,GA,13,Counties,159,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Liens, Superior Court Liens",https://data-gema.opendata.arcgis.com/,qPublic (Schneider Corp) / Tyler Tech,GSCCCA (Clerks Authority),Quarterly,ArcGIS REST / Web Scraper,Open / Mixed GSCCCA,0,Georgia Open Records Act
STA-011,Hawaii,HI,15,Counties,5,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, TMK Parcel Keys",https://geoportal.hawaii.gov/,State of Hawaii Office of Planning GIS,Bureau of Conveyances,Quarterly,ArcGIS REST API / Shapefile,Open / Public,0,Hawaii Uniform Information Practices
STA-012,Idaho,ID,16,Counties,44,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://gis.idaho.gov/,County GIS / Computer Arts Inc,County Recorders,Bi-Annual,ArcGIS REST API / REST Export,Open / Public,0,Idaho Public Records Law
STA-013,Illinois,IL,17,Counties,102,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Liens, Cook County Pin Rules",https://clearinghouse.isgs.illinois.edu/,Tyler Technologies / JTS / Beacon,County Recorders of Deeds,Monthly,ArcGIS REST API / Open Data,Open / Public,0,Illinois FOIA (5 ILCS 140)
STA-014,Indiana,IN,18,Counties,92,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Ditch Assessments",https://www.indianamap.org/,IndianaMap / Schneider Beacon,County Recorders,Quarterly,ArcGIS REST API / WMS,Open / Public,0,Indiana APRA
STA-015,Iowa,IA,19,Counties,99,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Agricultural CSR2",https://geodata.iowa.gov/,Beacon Schneider / Vanguard Appraisals,County Recorders (Iowa Land Records),Quarterly,ArcGIS REST / Statewide ILR,Open / Public,0,Iowa Open Records Law (Chapter 22)
STA-016,Kansas,KS,20,Counties,105,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://www.kansasgis.org/,Kansas DASC / Orion CAMA,Register of Deeds,Bi-Annual,ArcGIS REST / GeoJSON,Open / Public,0,Kansas Open Records Act (KORA)
STA-017,Kentucky,KY,21,Counties,120,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://kygeonet.ky.gov/,KyGeoNet / PVA Offices / Software Management,County Clerks,Quarterly,ArcGIS REST / KY Cadastral,Open / Public,0,Kentucky Open Records Act
STA-018,Louisiana,LA,22,Parishes,64,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Liens, Notarial Records",https://www.doa.la.gov/doa/osl/gis-data/,Parish Tax Assessors / Software & Services,Clerk of Court / Conveyance,Quarterly,ArcGIS REST / Parish Portals,Open / Public,0,Louisiana Public Records Act
STA-019,Maine,ME,23,Counties,16,"Parcels, Deeds, Assessments, Permits, Zoning",https://www.maine.gov/geolib/,Maine GeoLibrary / TRIO Software,County Registry of Deeds,Annual,ArcGIS REST API / GeoPackage,Open / Public,0,Maine Freedom of Access Act (FOAA)
STA-020,Maryland,MD,24,Counties/Independent cities,24,"Parcels, Deeds, Assessments, Permits, Zoning, SDAT Real Property",https://data.imap.maryland.gov/,MD iMAP / SDAT Assessment System,Circuit Court Clerks (MDLandRec),Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Maryland Public Information Act (PIA)
STA-021,Massachusetts,MA,25,Cities/Towns,351,"Parcels, Deeds, Assessments, Permits, Zoning, MassGIS Standard",https://www.mass.gov/info-details/massgis-data-property-tax-parcels,MassGIS Level 3 Standard / Patriot Properties,County Registry of Deeds,Monthly,ArcGIS REST API / GeoServer WFS,Open / Public,0,Massachusetts Public Records Law
STA-022,Michigan,MI,26,Counties,83,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Principal Residence Exemption",https://gis-michigan.opendata.arcgis.com/,BS&A Software / Equalization Depts,County Register of Deeds,Quarterly,ArcGIS REST API / Open Data,Open / Public,0,Michigan FOIA
STA-023,Minnesota,MN,27,Counties,87,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Geospatial Commons",https://gisdata.mn.gov/,MnGeo Parcel Data / Tyler Tech,County Recorders,Quarterly,ArcGIS REST / WFS,Open / Public,0,Minnesota Government Data Practices Act
STA-024,Mississippi,MS,28,Counties,82,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://maris.state.ms.us/,MARIS GIS / Delta Computer Systems,Chancery Court Clerks,Bi-Annual,ArcGIS REST / Shapefile,Open / Public,0,Mississippi Public Records Act
STA-025,Missouri,MO,29,Counties/Independent city,115,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://msdis.missouri.edu/,MSDIS / Tyler Tech / DEVNET,County Recorder of Deeds,Quarterly,ArcGIS REST API / GeoJSON,Open / Public,0,Missouri Sunshine Law
STA-026,Montana,MT,30,Counties,56,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Cadastral",https://mslservices.mt.gov/geographic_information/data/datalist/,Montana State Library Cadastral Framework,Clerk and Recorders,Monthly,ArcGIS REST / GeoJSON,Open / Public,0,Montana Constitutional Right to Know
STA-027,Nebraska,NE,31,Counties,93,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://gis.nebraska.gov/,Nebraska GIS Council / gWorks / TerraScan,Register of Deeds,Quarterly,ArcGIS REST API / GeoJSON,Open / Public,0,Nebraska Public Records Statutes
STA-028,Nevada,NV,32,Counties,17,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Clark County/Washoe GIS",https://geodesy.unr.edu/gis/ or County GIS,Tyler Technologies / County Assessors,County Recorders,Monthly,ArcGIS REST API / Open Data,Open / Public,0,Nevada Public Records Act
STA-029,New Hampshire,NH,33,Counties/Cities/Towns,10,"Parcels, Deeds, Assessments, Permits, Zoning, GRANIT Database",https://www.granit.unh.edu/,NH GRANIT / Avitar Associates,County Registry of Deeds,Annual,ArcGIS REST / Shapefile,Open / Public,0,NH Right to Know Law (RSA 91-A)
STA-030,New Jersey,NJ,34,Counties/Municipalities,21,"Parcels, Deeds, Taxes, Permits, Zoning, MOD-IV Tax System",https://njogis-newjersey.opendata.arcgis.com/,NJ OGIS / MOD-IV / Micronet,County Clerks / Register of Deeds,Monthly,ArcGIS REST / Bulk Access,Open / Public,0,New Jersey OPRA
STA-031,New Mexico,NM,35,Counties,33,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://rgis.unm.edu/,RGIS New Mexico / Tyler Tech,County Clerks,Quarterly,ArcGIS REST / Shapefile,Open / Public,0,NM Inspection of Public Records Act
STA-032,New York,NY,36,Counties/Cities/Towns,62,"Parcels, Deeds, Assessments, Permits, Zoning, NYC ACRIS / ORPS",https://gis.ny.gov/,NYS Tax & Finance ORPS / NYC ACRIS,County Clerks / City Register,Monthly,ArcGIS REST / Socrata / ACRIS API,Open / Public,0,New York FOIL
STA-033,North Carolina,NC,37,Counties,100,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, NC OneMap",https://www.nconemap.gov/,NC OneMap Cadastral / Farragut / Tyler,Register of Deeds,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,NC Public Records Law (G.S. 132)
STA-034,North Dakota,ND,38,Counties,53,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://www.gis.nd.gov/,ND GIS Hub / Vanguard Appraisals,County Recorders,Quarterly,ArcGIS REST API / Shapefile,Open / Public,0,North Dakota Open Records Statute
STA-035,Ohio,OH,39,Counties,88,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, OGRIP Statewide Layer",https://gis1.oit.ohio.gov/geodatadownload/,OGRIP / Tyler Technologies / Beacon,County Recorders,Quarterly,ArcGIS REST API / GeoJSON,Open / Public,0,Ohio Public Records Act
STA-036,Oklahoma,OK,40,Counties,77,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://okmaps.onenet.net/,OKMaps / OK Tax Commission,County Clerks,Bi-Annual,ArcGIS REST API / Shapefile,Open / Public,0,Oklahoma Open Records Act
STA-037,Oregon,OR,41,Counties,36,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, ORMAP Statewide Standard",https://www.oregon.gov/geo/,ORMAP / Thomson Reuters / Ascend,County Clerks,Quarterly,ArcGIS REST API / GeoJSON,Open / Public,0,Oregon Public Records Law
STA-038,Pennsylvania,PA,42,Counties,67,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, PASDA Database",https://www.pasda.psu.edu/,PASDA / Tyler Tech / DEVNET,Recorder of Deeds,Quarterly,ArcGIS REST API / WFS,Open / Public,0,Pennsylvania Right-to-Know Law
STA-039,Rhode Island,RI,44,Cities/Towns,39,"Parcels, Deeds, Assessments, Permits, Zoning, RIGIS Layer",https://www.rigis.org/,RIGIS / Vision Government Solutions,City and Town Clerks,Annual,ArcGIS REST API / GeoJSON,Open / Public,0,RI Access to Public Records Act (APRA)
STA-040,South Carolina,SC,45,Counties,46,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, RFA Statewide Cadastral",https://sc-department-of-revenue-scred.hub.arcgis.com/,SC Revenue & Fiscal Affairs / qPublic,Register of Deeds,Quarterly,ArcGIS REST API / Shapefile,Open / Public,0,South Carolina FOIA
STA-041,South Dakota,SD,46,Counties,66,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://webgis.sd.gov/,South Dakota WebGIS / Vanguard,Register of Deeds,Bi-Annual,ArcGIS REST API / WFS,Open / Public,0,South Dakota Open Records Laws
STA-042,Tennessee,TN,47,Counties,95,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Comptroller Assessment",https://tnmap.tn.gov/,TN Comptroller of Treasury Assessment Data,County Registers of Deeds,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Tennessee Public Records Act
STA-043,Texas,TX,48,Counties,254,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, Liens, Appraisal Districts",https://tnris.org/,TNRIS StratMap / True Automation / Harris Govern,County Clerks,Monthly,ArcGIS REST / StratMap Download,Open / Public,0,Texas Public Information Act (PIA)
STA-044,Utah,UT,49,Counties,29,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, UGRC Cadastral",https://gis.utah.gov/,UGRC Utah / Tyler Tech / County Assessors,County Recorders,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Utah GRAMA
STA-045,Vermont,VT,50,Counties/Towns,14,"Parcels, Deeds, Assessments, Permits, Zoning, VCGI Layer",https://geodata.vermont.gov/,VCGI / Grand List / NEMRC,Town Clerks,Quarterly,ArcGIS REST API / GeoJSON,Open / Public,0,Vermont Public Records Law
STA-046,Virginia,VA,51,Counties/Independent cities,133,"Parcels, Deeds, Taxes, Permits, Zoning, VGIN Cadastral",https://vgin.vdem.virginia.gov/,VGIN Virginia / Vision Gov / Tyler,Circuit Court Clerks,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Virginia FOIA
STA-047,Washington,WA,52,Counties,39,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, WA Geospatial Portal",https://geo.wa.gov/,WA Dept of Natural Resources / Tyler,County Auditors,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Washington Public Records Act
STA-048,West Virginia,WV,54,Counties,55,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, WV GIS Technical Center",https://wvgis.wvu.edu/,WV GIS Tech Center / State Tax Dept,County Clerks,Bi-Annual,ArcGIS REST API / Shapefile,Open / Public,0,West Virginia FOIA
STA-049,Wisconsin,WI,55,Counties,72,"Parcels, Owners, Deeds, Taxes, Permits, Zoning, V10 Statewide Parcel Initiative",https://www.sco.wisc.edu/parcels/data/,SCO Wisconsin / Land Information Council,Register of Deeds,Monthly,ArcGIS REST API / GeoJSON,Open / Public,0,Wisconsin Public Records Law
STA-050,Wyoming,WY,56,Counties,23,"Parcels, Owners, Deeds, Taxes, Permits, Zoning",https://gis.wyo.gov/,Wyoming GeoHub / Tyler Technologies,County Clerks,Bi-Annual,ArcGIS REST API / Shapefile,Open / Public,0,Wyoming Public Records Act
