entity_id,entity_name,layer_id,layer_name,occupancy_status,venture_id,sector_id,sector_name,executive_division,live_vercel_url,primary_starred_repo,data_room_path,distance_to_cash,ultimate_owner
ENT-001,Founder,1,FOUNDER / FAMILY OWNERSHIP,OCCUPIED_LIVE,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Founder
ENT-002,Founder Personal Estate,1,FOUNDER / FAMILY OWNERSHIP,OCCUPIED_LIVE,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Founder
ENT-003,Family Ownership Trust,1,FOUNDER / FAMILY OWNERSHIP,FORMED_SHELL,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family Ownership Trust
ENT-004,Revocable Living Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Founder
ENT-005,Irrevocable Family Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family Trust
ENT-006,Dynasty Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Dynasty Trust
ENT-007,Spousal Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Spousal Trust
ENT-008,Descendant Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Descendant Trust
ENT-009,Generation-Skipping Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,GST Trust
ENT-010,Testamentary Trust,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Testamentary Trust
ENT-011,Trust Protector Vehicle/Office,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Trust Protector
ENT-012,Family Limited Partnership,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family LP
ENT-013,Family LLC,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family LLC
ENT-014,Family Investment Committee,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family Investment Committee
ENT-015,Family Governance Council,1,FOUNDER / FAMILY OWNERSHIP,OPEN_FAMILY_SLOT,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Family Council
ENT-016,Estate Plan,2,ESTATE / SUCCESSION,FORMED_SHELL,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Founder
ENT-017,Last Will & Testament,2,ESTATE / SUCCESSION,FORMED_SHELL,UNASSIGNED,ESTATE-001,Dynastic Family Trust & Succession,01. Governance,https://vex-hero-site-sigma.vercel.app,Noisyxl/brier,BUSINESS-CAPITAL-DATA-ROOM/00_ENTERPRISE_BLUEPRINT.md,Capital Preservation,Founder
