app,url,service,status,verified,type,notes
"VEX Hero Dashboard","vex-hero-site-sigma.vercel.app","Vercel","configured","❓ needs check","production","Main dashboard"
"Venture Portal","N/A","Vercel","archived","❌","archived","From worldwidebro-venture-portal"
"EDU Landing Kit","N/A","Vercel","exists","❓ needs check","staging","From Documents"
"Portfolio MCP","N/A","Vercel","exists","❓ needs check","staging","From Documents"
"Staffing OS","N/A","Vercel","exists","❓ needs check","staging","From Documents ventures"
"PostgreSQL","localhost:5432","local","configured","❓ needs check","database","Operational state"
"Neo4j","localhost:7474","local","configured","❓ needs check","database","Knowledge graph"
"Qdrant","localhost:6333","local","configured","❓ needs check","database","Semantic embeddings"
"Redis","localhost:6379","local","configured","❓ needs check","cache","Temporary state"
"MinIO","localhost:9000","local","configured","❓ needs check","storage","Object storage"
"LiteLLM","localhost:4000","local","configured","❓ needs check","routing","Model routing"
"Langfuse","localhost:3000","local","configured","❓ needs check","tracing","Tracing/observability"
"Ollama","localhost:11434","local","configured","❓ needs check","llm","Local LLM"
"Prometheus","localhost:9090","local","configured","❓ needs check","metrics","Metrics collection"
"Grafana","localhost:3000","local","configured","❓ needs check","dashboard","Dashboards"
