File,Size,Modified,Full Path
/Volumes/T7,4.0K,Sep 1 09:04,/Volumes/T7 Shield/ObsidianWorldwidebroVault/._.registry
/Volumes/T7,4.0K,Sep 1 09:28,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/._security-ai-generated-code-auditor.md
/Volumes/T7,4.0K,Sep 1 09:28,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/._security-blockchain-security-auditor.md
/Volumes/T7,4.0K,Sep 1 09:28,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/._security-compliance-auditor.md
/Volumes/T7,4.0K,Sep 1 09:28,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/._testing-accessibility-auditor.md
/Volumes/T7,17K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/security-ai-generated-code-auditor.md
/Volumes/T7,21K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/security-blockchain-security-auditor.md
/Volumes/T7,7.0K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/security-compliance-auditor.md
/Volumes/T7,15K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.claude/agents/testing-accessibility-auditor.md
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.mcp/._registry
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.ok/local/._acp-registry-cache.json
/Volumes/T7,49K,Aug 27 19:53,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.ok/local/acp-registry-cache.json
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/._security-ai-generated-code-auditor.md
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/._security-blockchain-security-auditor.md
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/._security-compliance-auditor.md
/Volumes/T7,4.0K,Sep 1 09:26,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/._testing-accessibility-auditor.md
/Volumes/T7,17K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/security-ai-generated-code-auditor.md
/Volumes/T7,21K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/security-blockchain-security-auditor.md
/Volumes/T7,7.0K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/security-compliance-auditor.md
/Volumes/T7,15K,Aug 22 13:56,/Volumes/T7 Shield/ObsidianWorldwidebroVault/.opencode/agents/testing-accessibility-auditor.md
/Volumes/T7,4.0K,Sep 1 10:41,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/._tech_ventures_registry.csv
/Volumes/T7,16K,Jul 12 17:18,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/tech_ventures_registry.csv
/Volumes/T7,4.0K,Sep 1 10:40,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/06-TECHNOLOGY/repositories/Claude/.claude/agents/._venture-auditor.md
/Volumes/T7,1.6K,Jul 12 17:18,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/06-TECHNOLOGY/repositories/Claude/.claude/agents/venture-auditor.md
/Volumes/T7,4.0K,Sep 1 10:41,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/07-KNOWLEDGE/_legacy-os/ai-boss-os/registries/._entity_registry
/Volumes/T7,4.0K,Sep 1 10:41,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/07-KNOWLEDGE/_legacy-os/ai-boss-os/scripts/._load_entity_registry.py
/Volumes/T7,5.0K,Jul 12 17:18,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/07-KNOWLEDGE/_legacy-os/ai-boss-os/scripts/load_entity_registry.py
/Volumes/T7,4.0K,Sep 1 10:41,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/08-DATA/data/state_store.db/._mem%3Aaudit.bin
/Volumes/T7,1.2K,Jul 12 17:18,/Volumes/T7 Shield/ObsidianWorldwidebroVault/07-KNOWLEDGE/documents/.claude/worktrees/agent-ac65ac3629807bab2/WORLDWIDEBRO-OS/08-DATA/data/state_store.db/mem%3Aaudit.bin
