venture_id,name,sector,archetype,stage,capabilities,owned_caps,buy_caps,integration_pct,deal_layer
FIN-001-GenixBank-Lite,Genixbank Lite,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-007-Business-Credit-Building,Business Credit Building,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-008-Business-Formation-Services,Business Formation Services,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-017-Remittance-AI,Remittance Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-024-Crowdfunding-AI,Crowdfunding Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-025-Escrow-Automation,Escrow Automation,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-027-Patent-Writer-AI,Patent Writer Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-034-Payroll-Automation,Payroll Automation,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,financial,fintech,planned,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,fintech,growth,api | authentication | database | monitoring | payment | security,api | authentication | database | monitoring | security,payment,83,L8 Capital / L6 Software
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty-wellness,market,validation,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty-wellness,market,mvp,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty-wellness,market,validation,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-004-Lash-Training-Academy,Lash Training Academy,beauty-wellness,market,validation,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-005-Lash-Supply-Company,Lash Supply Company,beauty-wellness,market,mvp,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty-wellness,market,validation,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty-wellness,market,mvp,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-008-Private-Label-Lashes,Private Label Lashes,beauty-wellness,market,planned,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty-wellness,market,planned,api | authentication | dashboard | database | portfolio,api | authentication | dashboard | database,portfolio,80,L2 Service / L7 Data
