company,sector,phone,city_state,website,priority,notes,status,last_touch
WB Moore Company,Electrical (commercial),(704) 331-9300,Charlotte NC 28206,wbmoore.com,HIGH,Large commercial electrical; explicit careers/employment page,not_contacted,
Roby Commercial,Electrical (commercial),(704) 334-5477,Charlotte NC 28208,roby.com,HIGH,Commercial electrical/mechanical; high headcount,not_contacted,
Recore Electrical Contractors,Electrical (industrial),(704) 867-1647,Gastonia NC 28052,recoreelectric.com,HIGH,Industrial/new-construction electrical,not_contacted,
US Electric Contractors Charlotte,Electrical,(980) 225-1458,Charlotte NC 28203,uselectriccontractors.com,MEDIUM,Residential + commercial,not_contacted,
David Long Electrical Contractor,Electrical,(704) 849-0007,Charlotte NC,davidlongelectrical.com,MEDIUM,30+ yrs; service fleet,not_contacted,
429 Electrical Contractors LLC,Electrical,(704) 572-5036,Concord NC 28027,,MEDIUM,HBA Charlotte member,not_contacted,
ARCOS Electric Inc,Electrical,(704) 598-8089,Charlotte NC 28269,,MEDIUM,HBA Charlotte member,not_contacted,
Carolina Electric Pros LLC,Electrical,(704) 713-3793,Charlotte NC 28203,,MEDIUM,HBA Charlotte member,not_contacted,
Havana Electric Inc,Electrical,(704) 406-7552,Monroe NC 28110,,MEDIUM,HBA Charlotte member,not_contacted,
Ideal Electrical Services Inc,Electrical,(704) 668-9451,Indian Trail NC 28079,,MEDIUM,HBA Charlotte member,not_contacted,
A&W Electric Inc,Electrical,(704) 333-4986,Charlotte NC 28206,,MEDIUM,HBA Charlotte member,not_contacted,
Aguirre Electric LLC,Electrical,(704) 200-3379,Stanfield NC 28163,,MEDIUM,HBA Charlotte member,not_contacted,
Bryant Electric Repair & Construction,Electrical,(704) 864-5703,Gastonia NC 28054,,MEDIUM,HBA Charlotte member,not_contacted,
Driggers Electric & Control Co,Electrical,(704) 527-2811,Charlotte NC 28217,,MEDIUM,HBA Charlotte member; controls,not_contacted,
New South Electrical Constructors,Electrical,(704) 528-5347,Troutman NC 28166,,MEDIUM,HBA Charlotte member; commercial,not_contacted,
Osborne Brothers Electric Inc,Electrical,(704) 926-0045,Huntersville NC 28070,,MEDIUM,HBA Charlotte member,not_contacted,
Preferred Electric Co Inc,Electrical,(704) 347-0446,Charlotte NC 28217,,MEDIUM,HBA Charlotte member,not_contacted,
Pro Power Electric,Electrical,(704) 860-0300,Charlotte NC 28209,,MEDIUM,HBA Charlotte member,not_contacted,
On Time Electrical (Dependaworthy),Electrical,(980) 256-3854,Charlotte NC 28273,itselectriccharlotte.com,MEDIUM,Residential + commercial; careers page,not_contacted,
ARC Electric Company,Electrical,(704) 821-7005,Monroe NC 28110,arcelectriccompany.com,MEDIUM,Residential/commercial,not_contacted,
Bates Electric Charlotte,Electrical,(704) 741-4919,Fort Mill SC 29708,bates-electric.com,MEDIUM,Residential/commercial/industrial,not_contacted,
Gianni Electrical Service,Electrical,(704) 995-9805,Charlotte NC,giannielectrical.net,LOW,Small/residential,not_contacted,
Morris-Jenkins,HVAC + Plumbing,(704) 357-0484,Charlotte NC 28273,morrisjenkins.com,HIGH,Very large home-services co; constant hiring,not_contacted,
