sector,required_capabilities,requirement_count,matching_repos,high_confidence_repos,coverage_pct,top_repo_1,top_repo_2,top_repo_3
beauty-wellness,dashboard|api|database|workflow,4,598,15,16.555183946488295,FastGPT,Mindwtr,agent-framework
community,dashboard|api|database|workflow,4,598,15,16.555183946488295,FastGPT,Mindwtr,agent-framework
construction,dashboard|api|database|workflow|monitoring,5,600,40,32.0,agent-framework,open-scouts,pinchtab
e-commerce,api|payment|database|dashboard|security,5,607,8,14.662273476112025,evershop,everything-claude-code,hyperswitch
education,dashboard|api|database|workflow|testing,5,602,18,17.441860465116278,CloakBrowser,FastGPT,Mindwtr
education-training,dashboard|api|database|workflow|testing,5,602,18,17.441860465116278,CloakBrowser,FastGPT,Mindwtr
emerging,ai|api|database|monitoring|knowledge-graph,5,637,69,50.54945054945055,ComfyUI,WeKnora,airweave
financial,api|payment|security|database|monitoring,5,589,8,13.073005093378608,caddy,ethereum-etl,external-secrets
fitness-sports,dashboard|api|database|payment,4,591,3,12.18274111675127,evershop,listmonk,medusa
food-hospitality,api|database|payment|dashboard,4,591,3,12.18274111675127,evershop,listmonk,medusa
logistics-transport,api|monitoring|database|workflow,4,579,10,16.753022452504318,Agent-Reach,CloakBrowser,HexSecGPT
media-content,dashboard|api|database|knowledge-graph,4,593,8,14.67116357504216,ComfyUI,FastGPT,SocratiCode
operations,workflow|monitoring|api|database|automation,5,579,10,16.753022452504318,Agent-Reach,CloakBrowser,HexSecGPT
professional-services,dashboard|api|database|workflow,4,598,15,16.555183946488295,FastGPT,Mindwtr,agent-framework
real-estate,dashboard|api|database|payment|monitoring,5,593,23,25.96964586846543,listmonk,AP2,ComfyUI
software-technology,devtools|api|testing|deployment|database,5,608,21,23.026315789473685,maigret,social-analyzer,FastGPT
specialized,api|database|dashboard|knowledge-graph,4,593,8,14.67116357504216,ComfyUI,FastGPT,SocratiCode
technology,devtools|ai|api|testing|deployment,5,645,44,32.248062015503876,maigret,social-analyzer,Claudable
