sector_slug,sector_label,owning_opco,agent_owner,human_lead,cadence_days,slack_channel,status,last_updated
construction,Construction,CON,venture_classifier,TBD (Director),30,#con-operations,OWNED,2026-07-20
staffing,Staffing,STA,candidate_matcher,TBD (Director),30,#sta-operations,OWNED,2026-07-20
real-estate,Real Estate,RE,property_valuer,TBD (Sales Manager),30,#re-operations,OWNED,2026-07-20
education,Education,EDU,content_atomizer,TBD (Content Manager),30,#edu-operations,OWNED,2026-07-20
financial,Financial,FIN,transaction_processor,TBD (CFO),30,#fin-operations,OWNED,2026-07-20
operations,Operations,LOG,route_optimizer,TBD (Operations Director),30,#log-operations,OWNED,2026-07-20
transportation,Transportation,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
technology,Technology,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
marketplace,Marketplace,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
media,Media,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
healthcare,Healthcare,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
hospitality,Hospitality,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
investment,Investment,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
beauty-wellness,Beauty Wellness,UNASSIGNED,UNASSIGNED,UNASSIGNED,0,#ventures-unassigned,UNASSIGNED,2026-07-20
