repo_name,owner,dockerized,has_package_manifest,mcp_compatible,has_license,archived,last_push,production_ready
mcp,awslabs,False,False,True,True,False,2026-06-28T01:47:53Z,False
edu-013-automated-empire-book,Worldwidebro,False,False,False,False,False,2026-06-12T02:05:49Z,False
venture-hub,Worldwidebro,True,True,False,True,False,2026-06-12T00:46:43Z,True
con-009-roofing-company,Worldwidebro,False,False,False,False,False,2026-06-10T20:06:22Z,False
fin-001-genixbank-lite,Worldwidebro,False,False,False,True,False,2026-06-05T15:49:19Z,False
iza-os-tree-of-life,Worldwidebro,False,False,True,False,False,2026-05-28T22:46:07Z,False
iza-os-ecosystem,Worldwidebro,False,True,False,True,False,2026-05-19T02:26:21Z,False
comm-033-youth-innovation-hub,Worldwidebro,False,True,False,False,False,2026-04-27T16:54:53Z,False
comm-013-women-s-empowerment-network,Worldwidebro,False,True,False,False,False,2026-04-27T16:54:05Z,False
comm-011-indigenous-creator-hub,Worldwidebro,False,True,False,False,False,2026-04-27T16:53:59Z,False
comm-002-brotherhood-coaching-network,Worldwidebro,False,True,False,False,False,2026-04-27T16:53:38Z,False
pitch-kit,Worldwidebro,False,True,False,False,False,2026-04-18T20:53:35Z,False
iza-os-rag-system,Worldwidebro,False,True,False,False,False,2026-04-17T00:16:47Z,False
autonomous-venture-studio,Worldwidebro,True,True,False,False,False,2026-04-16T03:28:06Z,True
Avs-Omni-,Worldwidebro,False,False,False,False,False,2026-04-16T03:28:03Z,False
civilization-os-infra,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:37Z,False
claude-workflow-demo,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:31Z,False
con-002-residential-construction,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:10Z,False
con-003-commercial-construction,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:08Z,False
con-004-industrial-construction,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:07Z,False
con-006-construction-project-management,Worldwidebro,False,False,False,False,False,2026-04-16T03:27:04Z,False
con-019-window-installation,Worldwidebro,False,False,False,False,False,2026-04-16T03:26:45Z,False
consult-001-venture-consulting,Worldwidebro,False,False,False,False,False,2026-04-16T03:26:40Z,False
deployment-orchestrator,Worldwidebro,True,False,False,False,False,2026-04-16T03:26:37Z,False
divine-johns-portfolio,Worldwidebro,False,False,False,False,False,2026-04-16T03:26:34Z,False
ec-003-shopify-autopilot,Worldwidebro,False,False,False,False,False,2026-06-22T13:59:31Z,False
ec-005-nwa-products,Worldwidebro,False,False,False,False,False,2026-04-16T03:26:24Z,False
ec-006-dropship-hub,Worldwidebro,False,False,False,False,False,2026-04-16T03:26:21Z,False
ec-032-dynamic-pricing-engine,Worldwidebro,False,False,False,False,False,2026-04-16T03:25:40Z,False
ec-034-recommendation-engine,Worldwidebro,False,False,False,False,False,2026-04-16T03:25:37Z,False
ec-043-ugc-content-aggregator,Worldwidebro,False,False,False,False,False,2026-04-16T03:23:15Z,False
ec-049-rental-marketplace,Worldwidebro,False,False,False,False,False,2026-04-16T03:23:06Z,False
edu-001-youth-entrepreneurship-curriculum,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:27Z,False
edu-003-coding-mentor-certification,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:24Z,False
edu-004-real-estate-licensing-prep,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:22Z,False
edu-005-coding-bootcamp,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:21Z,False
edu-009-voiceover-script-library,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:15Z,False
edu-010-trade-skills-bootcamp,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:13Z,False
edu-011-franchise-blueprint-system,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:12Z,False
edu-012-low-income-housing-blueprint,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:10Z,False
edu-014-bipoc-creator-incubator,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:07Z,False
edu-016-virtual-black-art-museum,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:04Z,False
edu-018-online-course-creator,Worldwidebro,False,False,False,False,False,2026-04-16T03:21:01Z,False
edu-019-executive-education-program,Worldwidebro,False,False,False,False,False,2026-04-16T03:20:59Z,False
edu-020-youth-stem-program,Worldwidebro,False,False,False,False,False,2026-04-16T03:20:58Z,False
edu-021-remote-work-certification,Worldwidebro,False,False,False,False,False,2026-04-16T03:20:56Z,False
edu-023-personal-finance-coach,Worldwidebro,False,False,False,False,False,2026-04-16T03:20:53Z,False
et-012-educational-content-library,Worldwidebro,False,False,False,False,False,2026-04-16T03:18:42Z,False
et-015-homeschool-curriculum,Worldwidebro,False,False,False,False,False,2026-04-16T03:18:37Z,False
fh-017-cooking-content-brand,Worldwidebro,False,False,False,True,False,2026-04-16T03:18:09Z,False
fh-020-restaurant-pos-system,Worldwidebro,False,False,False,True,False,2026-04-16T03:18:06Z,False
fh-022-specialty-coffee-shop,Worldwidebro,False,False,False,True,False,2026-04-16T03:18:03Z,False
fh-023-bakery---pastry-shop,Worldwidebro,False,False,False,False,False,2026-04-16T03:18:01Z,False
fh-025-ice-cream-shop,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:58Z,False
fin-005-u-haul-rental-affiliate,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:35Z,False
fin-009-crypto-tax-optimizer,Worldwidebro,False,False,False,False,False,2026-04-16T03:17:29Z,False
fin-011-automated-bookkeeping,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:26Z,False
fin-015-financial-wellness-coach,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:20Z,False
fin-021-tax-deduction-finder,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:11Z,False
fin-025-escrow-automation,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:04Z,False
fin-026-financial-compliance-scanner,Worldwidebro,False,False,False,True,False,2026-04-16T03:17:02Z,False
fin-034-payroll-automation,Worldwidebro,False,False,False,True,False,2026-04-16T03:16:46Z,False
iza-os-analytics,Worldwidebro,True,False,False,False,False,2026-04-16T02:55:44Z,False
iza-os-automation,Worldwidebro,True,False,False,False,False,2026-04-16T02:55:41Z,False
iza-os-business,Worldwidebro,True,False,False,False,False,2026-04-16T02:55:36Z,False
iza-os-cybersecurity-monitoring-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:55:12Z,False
iza-os-data,Worldwidebro,False,False,False,False,False,2026-04-16T02:55:11Z,False
iza-os-deployment-automation-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:55:06Z,False
iza-os-docs,Worldwidebro,False,False,False,False,False,2026-04-16T02:55:04Z,False
iza-os-enterprise,Worldwidebro,True,False,False,True,False,2026-04-16T02:54:59Z,False
iza-os-infrastructure-monitoring-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:54:19Z,False
iza-os-inventory-management-analytics-bot,Worldwidebro,True,True,False,False,False,2026-04-16T02:54:15Z,True
iza-os-inventory-management-automation-bot,Worldwidebro,True,False,False,False,False,2026-04-16T02:54:13Z,False
iza-os-inventory-management-monitoring-bot,Worldwidebro,True,False,False,False,False,2026-04-16T02:54:10Z,False
iza-os-inventory-management-optimization-bot,Worldwidebro,True,True,False,False,False,2026-04-16T02:54:08Z,True
iza-os-legal-research-discovery-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:53:58Z,False
iza-os-legal-research-processing-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:53:49Z,False
iza-os-legal-research-synthesis-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:53:44Z,False
iza-os-marketing-automation-analytics-bot,Worldwidebro,True,True,False,False,False,2026-04-16T02:53:37Z,True
iza-os-mcp,Worldwidebro,False,False,True,False,False,2026-04-16T02:53:15Z,False
iza-os-mobile,Worldwidebro,False,False,False,False,False,2026-04-16T02:53:11Z,False
iza-os-monitoring,Worldwidebro,False,False,False,False,False,2026-04-16T02:53:07Z,False
iza-os-notification-bot,Worldwidebro,False,False,False,False,False,2026-04-16T02:52:54Z,False
