opco_id,venture_id
FINANCIAL,FIN-001-GenixBank-Lite
FINANCIAL,FIN-002-Credit-Repair-Automation
FINANCIAL,FIN-003-AI-Boss-Hub-Lite
FINANCIAL,FIN-004-GenixBanks-AI-Treasurer
FINANCIAL,FIN-005-U-Haul-Rental-Affiliate
FINANCIAL,FIN-006-Tax-Prep-Filing-Services
FINANCIAL,FIN-007-Business-Credit-Building
FINANCIAL,FIN-008-Business-Formation-Services
FINANCIAL,FIN-009-Crypto-Tax-Optimizer
FINANCIAL,FIN-010-AI-Powered-Garbage-Collection
FINANCIAL,FIN-011-Automated-Bookkeeping
FINANCIAL,FIN-012-Invoice-Factoring-AI
FINANCIAL,FIN-013-Charity-Donation-AI
FINANCIAL,FIN-014-Expense-Tracker-AI
FINANCIAL,FIN-015-Financial-Wellness-Coach
FINANCIAL,FIN-016-Trade-Finance-AI
FINANCIAL,FIN-017-Remittance-AI
FINANCIAL,FIN-018-Wealth-Transfer-AI
FINANCIAL,FIN-019-Payment-Gateway-AI
FINANCIAL,FIN-020-Debt-Consolidation-AI
FINANCIAL,FIN-021-Tax-Deduction-Finder
FINANCIAL,FIN-022-Budget-Forecasting-AI
FINANCIAL,FIN-023-Investment-Portfolio-AI
FINANCIAL,FIN-024-Crowdfunding-AI
FINANCIAL,FIN-025-Escrow-Automation
FINANCIAL,FIN-026-Financial-Compliance-Scanner
FINANCIAL,FIN-027-Patent-Writer-AI
FINANCIAL,FIN-028-Legal-Analyzer-AI
FINANCIAL,FIN-029-Compliance-Wallet-SaaS
FINANCIAL,FIN-030-Local-SEO-Ranker-AI
FINANCIAL,FIN-031-Investor-Dashboard-Builder
FINANCIAL,FIN-032-Legal-Toolkit-AI
FINANCIAL,FIN-033-AI-Tax-Preparation-Service
FINANCIAL,FIN-034-Payroll-Automation
FINANCIAL,FIN-035-Insurance-Underwriting-AI
FINANCIAL,FIN-036-Arbitrage-Nexus-Platform
BEAUTY-WELLNESS,BW-001-Lash-Extension-Studio
BEAUTY-WELLNESS,BW-002-Mobile-Lash-Service
BEAUTY-WELLNESS,BW-003-Luxury-Lash-Bar
BEAUTY-WELLNESS,BW-004-Lash-Training-Academy
BEAUTY-WELLNESS,BW-005-Lash-Supply-Company
BEAUTY-WELLNESS,BW-006-Lash-Glue-Brand
BEAUTY-WELLNESS,BW-007-Lash-Kits-&-Tools
BEAUTY-WELLNESS,BW-008-Private-Label-Lashes
BEAUTY-WELLNESS,BW-009-Franchise-Lash-Salons
BEAUTY-WELLNESS,BW-010-Online-Lash-Education
BEAUTY-WELLNESS,BW-011-Nail-Salon
BEAUTY-WELLNESS,BW-012-Mobile-Nail-Tech
BEAUTY-WELLNESS,BW-013-Luxury-Nail-Spa
BEAUTY-WELLNESS,BW-014-Press-On-Nail-Brand
BEAUTY-WELLNESS,BW-015-Nail-Art-Studio
BEAUTY-WELLNESS,BW-016-Nail-Polish-Brand
BEAUTY-WELLNESS,BW-017-Nail-Care-Products
BEAUTY-WELLNESS,BW-018-Nail-Booking-Marketplace
BEAUTY-WELLNESS,BW-019-Salon-Management-Software
BEAUTY-WELLNESS,BW-020-AI-Nail-Design-Generator
BEAUTY-WELLNESS,BW-021-Hair-Salon
BEAUTY-WELLNESS,BW-022-Barbershop
BEAUTY-WELLNESS,BW-023-Mobile-Hairstyling
BEAUTY-WELLNESS,BW-024-Hair-Braiding-Studio
BEAUTY-WELLNESS,BW-025-Wig-Installation-Studio
BEAUTY-WELLNESS,BW-026-Hair-Extension-Salon
BEAUTY-WELLNESS,BW-027-Hair-Care-Line
BEAUTY-WELLNESS,BW-028-Wig-Brand
BEAUTY-WELLNESS,BW-029-Hair-Extensions-Brand
BEAUTY-WELLNESS,BW-030-Scalp-Treatment-Products
BEAUTY-WELLNESS,BW-031-Hair-Marketplace
BEAUTY-WELLNESS,BW-032-Stylist-Booking-Platform
BEAUTY-WELLNESS,BW-033-AI-Hairstyle-Simulator
BEAUTY-WELLNESS,BW-034-Salon-Franchise-Chain
BEAUTY-WELLNESS,BW-035-Makeup-Studio
BEAUTY-WELLNESS,BW-036-Bridal-Makeup-Service
BEAUTY-WELLNESS,BW-037-Mobile-Makeup-Artist
BEAUTY-WELLNESS,BW-038-Photoshoot-Makeup-Team
BEAUTY-WELLNESS,BW-039-Cosmetics-Brand
BEAUTY-WELLNESS,BW-040-Beauty-Tools-Brand
FOOD-HOSPITALITY,FH-001-Personal-Chef-Service
FOOD-HOSPITALITY,FH-002-Meal-Prep-Delivery
FOOD-HOSPITALITY,FH-003-Private-Dinner-Experiences
FOOD-HOSPITALITY,FH-004-Catering-Company
FOOD-HOSPITALITY,FH-005-Corporate-Lunch-Service
FOOD-HOSPITALITY,FH-006-Healthy-Meal-Prep-for-Gyms
FOOD-HOSPITALITY,FH-007-Elderly-Meal-Service
FOOD-HOSPITALITY,FH-008-Athlete-Nutrition-Service
FOOD-HOSPITALITY,FH-009-Packaged-Food-Brand
FOOD-HOSPITALITY,FH-010-Frozen-Meals-Company
FOOD-HOSPITALITY,FH-011-Sauce-or-Seasoning-Brand
FOOD-HOSPITALITY,FH-012-Protein-Snacks-Brand
FOOD-HOSPITALITY,FH-013-Meal-Kit-Company
FOOD-HOSPITALITY,FH-014-Cloud-Kitchen-
FOOD-HOSPITALITY,FH-015-AI-Nutrition-Planner
FOOD-HOSPITALITY,FH-016-Recipe-App
FOOD-HOSPITALITY,FH-017-Cooking-Content-Brand
FOOD-HOSPITALITY,FH-018-Food-Influencer-Brand
FOOD-HOSPITALITY,FH-019-Cooking-Course-Platform
FOOD-HOSPITALITY,FH-020-Restaurant-POS-System
FOOD-HOSPITALITY,FH-021-Food-Truck-Business
FOOD-HOSPITALITY,FH-022-Specialty-Coffee-Shop
FOOD-HOSPITALITY,FH-023-Bakery-&-Pastry-Shop
FOOD-HOSPITALITY,FH-024-Juice-Bar
FOOD-HOSPITALITY,FH-025-Ice-Cream-Shop
FOOD-HOSPITALITY,FH-026-Gourmet-Food-Market
FOOD-HOSPITALITY,FH-027-Food-Delivery-Platform
FOOD-HOSPITALITY,FH-028-Restaurant-Management-SaaS
FOOD-HOSPITALITY,FH-029-Food-Quality-Testing-Lab
FOOD-HOSPITALITY,FH-030-Organic-Food-Brand
FOOD-HOSPITALITY,FH-031-Vegan-Food-Company
FOOD-HOSPITALITY,FH-032-Keto-Meal-Service
FOOD-HOSPITALITY,FH-033-Food-Photography-Service
FOOD-HOSPITALITY,FH-034-Restaurant-Consulting
FOOD-HOSPITALITY,FH-035-Food-Safety-Training
FITNESS-SPORTS,FS-001-Gym
FITNESS-SPORTS,FS-002-Boutique-Fitness-Studio
FITNESS-SPORTS,FS-003-Personal-Training-Studio
FITNESS-SPORTS,FS-004-Women-Only-Gym
FITNESS-SPORTS,FS-005-Boxing-Gym
FITNESS-SPORTS,FS-006-CrossFit-Gym
FITNESS-SPORTS,FS-007-Luxury-Fitness-Club
FITNESS-SPORTS,FS-008-Online-Coaching
FITNESS-SPORTS,FS-009-Personal-Trainer-Business
FITNESS-SPORTS,FS-010-Transformation-Program
FITNESS-SPORTS,FS-011-Athlete-Training-Company
FITNESS-SPORTS,FS-012-Supplement-Brand
FITNESS-SPORTS,FS-013-Fitness-Apparel
FITNESS-SPORTS,FS-014-Workout-Equipment-Brand
FITNESS-SPORTS,FS-015-Recovery-Products
FITNESS-SPORTS,FS-016-Fitness-App
FITNESS-SPORTS,FS-017-AI-Personal-Trainer
FITNESS-SPORTS,FS-018-Gym-Management-Software
FITNESS-SPORTS,FS-019-Wearable-Analytics-Platform
FITNESS-SPORTS,FS-020-Yoga-Studio
FITNESS-SPORTS,FS-021-Pilates-Studio
FITNESS-SPORTS,FS-022-Dance-Studio
FITNESS-SPORTS,FS-023-Martial-Arts-Dojo
FITNESS-SPORTS,FS-024-Sports-Performance-Center
FITNESS-SPORTS,FS-025-Corporate-Wellness-Program
LOGISTICS-TRANSPORT,LT-001-Truck-Dispatch-Company
LOGISTICS-TRANSPORT,LT-002-Freight-Brokerage
LOGISTICS-TRANSPORT,LT-003-Logistics-Dispatch-Service
LOGISTICS-TRANSPORT,LT-004-Last-Mile-Delivery-Dispatch
LOGISTICS-TRANSPORT,LT-005-Medical-Courier-Dispatch
LOGISTICS-TRANSPORT,LT-006-Amazon
LOGISTICS-TRANSPORT,LT-007-Construction-Dispatch
LOGISTICS-TRANSPORT,LT-008-Towing-Dispatch
LOGISTICS-TRANSPORT,LT-009-HVAC-Technician-Dispatch
LOGISTICS-TRANSPORT,LT-010-Field-Service-Dispatch
LOGISTICS-TRANSPORT,LT-011-Dispatch-Software
LOGISTICS-TRANSPORT,LT-012-Fleet-Tracking-Platform
LOGISTICS-TRANSPORT,LT-013-Logistics-Automation-System
LOGISTICS-TRANSPORT,LT-014-AI-Route-Optimization
LOGISTICS-TRANSPORT,LT-015-Driver-Management-Platform
LOGISTICS-TRANSPORT,LT-016-Trucking-Company
LOGISTICS-TRANSPORT,LT-017-Courier-Service
LOGISTICS-TRANSPORT,LT-018-Local-Delivery-Company
LOGISTICS-TRANSPORT,LT-019-Moving-Company
LOGISTICS-TRANSPORT,LT-020-Freight-Company
LOGISTICS-TRANSPORT,LT-021-Warehouse-Company
LOGISTICS-TRANSPORT,LT-022-Fulfillment-Center
LOGISTICS-TRANSPORT,LT-023-Storage-Business
LOGISTICS-TRANSPORT,LT-024-Distribution-Company
LOGISTICS-TRANSPORT,LT-025-Logistics-Marketplace
LOGISTICS-TRANSPORT,LT-026-Shipping-Platform
LOGISTICS-TRANSPORT,LT-027-Fleet-Management-SaaS
LOGISTICS-TRANSPORT,LT-028-Freight-AI-Optimization
LOGISTICS-TRANSPORT,LT-029-Supply-Chain-Analytics
LOGISTICS-TRANSPORT,LT-030-Cold-Chain-Logistics
PROFESSIONAL-SERVICES,PS-001-Business-Consulting
PROFESSIONAL-SERVICES,PS-002-Legal-Services
PROFESSIONAL-SERVICES,PS-003-Accounting-Services
PROFESSIONAL-SERVICES,PS-004-HR-Consulting
PROFESSIONAL-SERVICES,PS-005-Marketing-Agency
PROFESSIONAL-SERVICES,PS-006-Web-Design-Agency
PROFESSIONAL-SERVICES,PS-007-IT-Support-Services
PROFESSIONAL-SERVICES,PS-008-Virtual-Assistant-Service
PROFESSIONAL-SERVICES,PS-009-Bookkeeping-Service
PROFESSIONAL-SERVICES,PS-010-Tax-Preparation-Service
PROFESSIONAL-SERVICES,PS-011-Real-Estate-Agency
PROFESSIONAL-SERVICES,PS-012-Insurance-Agency
PROFESSIONAL-SERVICES,PS-013-Financial-Planning
PROFESSIONAL-SERVICES,PS-014-Event-Planning
PROFESSIONAL-SERVICES,PS-015-Interior-Design
PROFESSIONAL-SERVICES,PS-016-Photography-Service
PROFESSIONAL-SERVICES,PS-017-Videography-Service
PROFESSIONAL-SERVICES,PS-018-Translation-Services
PROFESSIONAL-SERVICES,PS-019-Copywriting-Service
PROFESSIONAL-SERVICES,PS-020-Social-Media-Management
PROFESSIONAL-SERVICES,PS-021-SEO-Agency
PROFESSIONAL-SERVICES,PS-022-PPC-Management
PROFESSIONAL-SERVICES,PS-023-PR-Agency
PROFESSIONAL-SERVICES,PS-024-Recruiting-Agency
PROFESSIONAL-SERVICES,PS-025-Business-Brokerage
MEDIA-CONTENT,MC-001-YouTube-Channel-Network
MEDIA-CONTENT,MC-002-Podcast-Network
MEDIA-CONTENT,MC-003-Blog-Network
MEDIA-CONTENT,MC-004-Influencer-Agency
MEDIA-CONTENT,MC-005-Content-Creation-Studio
MEDIA-CONTENT,MC-006-Video-Production-Company
MEDIA-CONTENT,MC-007-Animation-Studio
MEDIA-CONTENT,MC-008-Music-Production
MEDIA-CONTENT,MC-009-Stock-Photography
MEDIA-CONTENT,MC-010-Stock-Video
MEDIA-CONTENT,MC-011-Online-Magazine
MEDIA-CONTENT,MC-012-News-Website
MEDIA-CONTENT,MC-013-Streaming-Platform
MEDIA-CONTENT,MC-014-Gaming-Channel
MEDIA-CONTENT,MC-015-Esports-Team
MEDIA-CONTENT,MC-016-Virtual-Events-Platform
MEDIA-CONTENT,MC-017-Online-Course-Platform
MEDIA-CONTENT,MC-018-Membership-Site
MEDIA-CONTENT,MC-019-Digital-Download-Store
MEDIA-CONTENT,MC-020-NFT-Marketplace
EDUCATION-TRAINING,ET-001-Online-Tutoring-Platform
EDUCATION-TRAINING,ET-002-Language-Learning-App
EDUCATION-TRAINING,ET-003-Test-Prep-Service
EDUCATION-TRAINING,ET-004-Coding-Bootcamp
EDUCATION-TRAINING,ET-005-Professional-Certification
EDUCATION-TRAINING,ET-006-Corporate-Training
EDUCATION-TRAINING,ET-007-Skills-Assessment-Platform
EDUCATION-TRAINING,ET-008-Career-Coaching
EDUCATION-TRAINING,ET-009-Resume-Writing-Service
EDUCATION-TRAINING,ET-010-Interview-Prep-Platform
EDUCATION-TRAINING,ET-011-Mentorship-Platform
EDUCATION-TRAINING,ET-012-Educational-Content-Library
EDUCATION-TRAINING,ET-013-VR-Training-Simulations
EDUCATION-TRAINING,ET-014-Gamified-Learning-App
EDUCATION-TRAINING,ET-015-Homeschool-Curriculum
SOFTWARE-TECHNOLOGY,ST-001-SaaS-Platform
SOFTWARE-TECHNOLOGY,ST-002-Mobile-App-Development
SOFTWARE-TECHNOLOGY,ST-003-Web-Development-Agency
SOFTWARE-TECHNOLOGY,ST-004-Custom-Software-Development
SOFTWARE-TECHNOLOGY,ST-005-API-Development
SOFTWARE-TECHNOLOGY,ST-006-Cloud-Infrastructure
SOFTWARE-TECHNOLOGY,ST-007-DevOps-Consulting
SOFTWARE-TECHNOLOGY,ST-008-Cybersecurity-Service
SOFTWARE-TECHNOLOGY,ST-009-Data-Analytics-Platform
SOFTWARE-TECHNOLOGY,ST-010-Business-Intelligence-Tool
SOFTWARE-TECHNOLOGY,ST-011-CRM-Platform
SOFTWARE-TECHNOLOGY,ST-012-Project-Management-Tool
SOFTWARE-TECHNOLOGY,ST-013-Communication-Platform
SOFTWARE-TECHNOLOGY,ST-014-Collaboration-Software
SOFTWARE-TECHNOLOGY,ST-015-Automation-Platform
SOFTWARE-TECHNOLOGY,ST-016-AI
SOFTWARE-TECHNOLOGY,ST-017-Chatbot-Builder
SOFTWARE-TECHNOLOGY,ST-018-E-commerce-Platform
SOFTWARE-TECHNOLOGY,ST-019-Payment-Processing
SOFTWARE-TECHNOLOGY,ST-020-Blockchain-Platform
SOFTWARE-TECHNOLOGY,ST-021-IoT-Platform
SOFTWARE-TECHNOLOGY,ST-022-AR
SOFTWARE-TECHNOLOGY,ST-023-Game-Development
SOFTWARE-TECHNOLOGY,ST-024-Marketing-Automation
SOFTWARE-TECHNOLOGY,ST-025-Sales-Automation
SOFTWARE-TECHNOLOGY,ST-026-HR-Tech-Platform
SOFTWARE-TECHNOLOGY,ST-027-Legal-Tech-Platform
SOFTWARE-TECHNOLOGY,ST-028-Health-Tech-Platform
SOFTWARE-TECHNOLOGY,ST-029-EdTech-Platform
SOFTWARE-TECHNOLOGY,ST-030-PropTech-Platform
E-COMMERCE,EC-001-Angels-in-Daylight
E-COMMERCE,EC-002-New-World-Apparel
E-COMMERCE,EC-003-Shopify-Autopilot
E-COMMERCE,EC-004-Shoe-Customizer
E-COMMERCE,EC-005-Sunglasses-AI
E-COMMERCE,EC-006-Dropship-Hub
E-COMMERCE,EC-007-Personal-Shopper-AI
E-COMMERCE,EC-008-Custom-Sneaker-AI
E-COMMERCE,EC-009-Sustainable-Fashion-AI
