opco_id,sector_label,venture_count
AGRICULTURE,Agriculture,0
BEAUTY-WELLNESS,Beauty-Wellness,40
CONSTRUCTION,Construction,20
EDUCATION,Education,57
ENERGY,Energy,0
FINANCIAL,Financial,41
HEALTHCARE,Healthcare,25
HOSPITALITY,Hospitality,35
INVESTMENT,Investment,100
MANUFACTURING,Manufacturing,0
MARKETPLACE,Marketplace,112
MEDIA,Media,21
OPERATIONS,Operations,121
REAL-ESTATE,Real-Estate,1
RETAIL,Retail,0
STAFFING,Staffing,25
TECHNOLOGY,Technology,93
TRANSPORTATION,Transportation,30
