repo_name,venture_id,sector,status,health_score
fin-001-genixbank-lite,FIN-001-GenixBank-Lite,financial,planned,"T4_OPS_COORDINATOR_001""],0,ventures-master.csv,medium,Venture #1 of 687
fin-002-credit-repair-automation,FIN-002-Credit-Repair-Automation: Credit Repair Automation - financial venture,Venture,FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,planned,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation,T2_FINANCIAL_SPECIALIST_001"""
lt-002-freight-brokerage,LT-002-Freight-Brokerage,logistics-transport,validation,"[""""system-design"""
lt-003-logistics-dispatch-service,LT-003-Logistics-Dispatch-Service,logistics-transport,development,"[""""system-design"""
lt-004-last-mile-delivery-dispatch,LT-004-Last-Mile-Delivery-Dispatch,logistics-transport,development,"[""""system-design"""
lt-005-medical-courier-dispatch,LT-005-Medical-Courier-Dispatch,logistics-transport,validation,"[""""system-design"""
lt-006-amazon,LT-006-Amazon,logistics-transport,planned,"[""""system-design"""
lt-007-construction-dispatch,LT-007-Construction-Dispatch,logistics-transport,validation,"[""""system-design"""
lt-008-towing-dispatch,LT-008-Towing-Dispatch,logistics-transport,development,"[""""system-design"""
lt-009-hvac-technician-dispatch,LT-009-HVAC-Technician-Dispatch,logistics-transport,development,"[""""system-design"""
lt-010-field-service-dispatch,LT-010-Field-Service-Dispatch,logistics-transport,development,"[""""system-design"""
lt-011-dispatch-software,LT-011-Dispatch-Software,logistics-transport,planned,"[""""system-design"""
lt-012-fleet-tracking-platform,LT-012-Fleet-Tracking-Platform,logistics-transport,planned,"[""""system-design"""
lt-013-logistics-automation-system,LT-013-Logistics-Automation-System,logistics-transport,planned,"[""""system-design"""
lt-014-ai-route-optimization,LT-014-AI-Route-Optimization,logistics-transport,planned,"[""""system-design"""
lt-015-driver-management-platform,LT-015-Driver-Management-Platform,logistics-transport,planned,"[""""system-design"""
lt-016-trucking-company,LT-016-Trucking-Company,logistics-transport,validation,"[""""system-design"""
lt-017-courier-service,LT-017-Courier-Service,logistics-transport,development,"[""""system-design"""
lt-018-local-delivery-company,LT-018-Local-Delivery-Company,logistics-transport,development,"[""""system-design"""
