venture_id,capability
484ac493-c394-4ca1-aa18-e514a8844312,api
484ac493-c394-4ca1-aa18-e514a8844312,authentication
484ac493-c394-4ca1-aa18-e514a8844312,database
484ac493-c394-4ca1-aa18-e514a8844312,monitoring
484ac493-c394-4ca1-aa18-e514a8844312,security
a4edc8b5-1635-4e87-85eb-bfcc9e168697,api
a4edc8b5-1635-4e87-85eb-bfcc9e168697,authentication
a4edc8b5-1635-4e87-85eb-bfcc9e168697,database
a4edc8b5-1635-4e87-85eb-bfcc9e168697,monitoring
a4edc8b5-1635-4e87-85eb-bfcc9e168697,payment
a4edc8b5-1635-4e87-85eb-bfcc9e168697,security
65bcab5b-f1b9-425c-963a-674db3c88f2e,api
65bcab5b-f1b9-425c-963a-674db3c88f2e,authentication
65bcab5b-f1b9-425c-963a-674db3c88f2e,database
65bcab5b-f1b9-425c-963a-674db3c88f2e,monitoring
65bcab5b-f1b9-425c-963a-674db3c88f2e,security
a816b258-9f64-471b-98cf-85682d14589b,api
a816b258-9f64-471b-98cf-85682d14589b,authentication
a816b258-9f64-471b-98cf-85682d14589b,database
a816b258-9f64-471b-98cf-85682d14589b,monitoring
a816b258-9f64-471b-98cf-85682d14589b,payment
a816b258-9f64-471b-98cf-85682d14589b,security
8daa80d5-9dc6-4f36-ae07-531d75b141c3,api
8daa80d5-9dc6-4f36-ae07-531d75b141c3,authentication
8daa80d5-9dc6-4f36-ae07-531d75b141c3,dashboard
8daa80d5-9dc6-4f36-ae07-531d75b141c3,database
8daa80d5-9dc6-4f36-ae07-531d75b141c3,portfolio
c3420a69-2d33-48d6-b5bd-eae1021e86e2,api
c3420a69-2d33-48d6-b5bd-eae1021e86e2,authentication
c3420a69-2d33-48d6-b5bd-eae1021e86e2,database
c3420a69-2d33-48d6-b5bd-eae1021e86e2,monitoring
c3420a69-2d33-48d6-b5bd-eae1021e86e2,payment
c3420a69-2d33-48d6-b5bd-eae1021e86e2,security
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,api
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,authentication
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,database
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,monitoring
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,payment
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,security
6864b44d-111b-4f8f-9d86-70c7576ba018,api
6864b44d-111b-4f8f-9d86-70c7576ba018,authentication
6864b44d-111b-4f8f-9d86-70c7576ba018,database
6864b44d-111b-4f8f-9d86-70c7576ba018,monitoring
6864b44d-111b-4f8f-9d86-70c7576ba018,payment
6864b44d-111b-4f8f-9d86-70c7576ba018,security
da7741e1-3e05-4949-9a87-cfdd2d70d256,api
da7741e1-3e05-4949-9a87-cfdd2d70d256,authentication
da7741e1-3e05-4949-9a87-cfdd2d70d256,database
da7741e1-3e05-4949-9a87-cfdd2d70d256,monitoring
da7741e1-3e05-4949-9a87-cfdd2d70d256,payment
da7741e1-3e05-4949-9a87-cfdd2d70d256,security
37827f2a-b6dc-4218-a578-d96cb004b1f0,api
37827f2a-b6dc-4218-a578-d96cb004b1f0,authentication
37827f2a-b6dc-4218-a578-d96cb004b1f0,database
37827f2a-b6dc-4218-a578-d96cb004b1f0,monitoring
37827f2a-b6dc-4218-a578-d96cb004b1f0,payment
37827f2a-b6dc-4218-a578-d96cb004b1f0,security
a12d6916-eb38-49ad-8293-17a68098b94f,api
a12d6916-eb38-49ad-8293-17a68098b94f,authentication
a12d6916-eb38-49ad-8293-17a68098b94f,database
a12d6916-eb38-49ad-8293-17a68098b94f,monitoring
a12d6916-eb38-49ad-8293-17a68098b94f,payment
a12d6916-eb38-49ad-8293-17a68098b94f,security
f2271f17-3ca5-4e9d-9518-bab57abef224,api
f2271f17-3ca5-4e9d-9518-bab57abef224,authentication
f2271f17-3ca5-4e9d-9518-bab57abef224,database
f2271f17-3ca5-4e9d-9518-bab57abef224,monitoring
f2271f17-3ca5-4e9d-9518-bab57abef224,payment
f2271f17-3ca5-4e9d-9518-bab57abef224,security
db540a0b-9916-4c91-b31c-e6390b861032,api
db540a0b-9916-4c91-b31c-e6390b861032,authentication
db540a0b-9916-4c91-b31c-e6390b861032,database
db540a0b-9916-4c91-b31c-e6390b861032,monitoring
db540a0b-9916-4c91-b31c-e6390b861032,payment
db540a0b-9916-4c91-b31c-e6390b861032,security
2456b3b6-1012-4c1c-ace0-0f100383fda2,api
2456b3b6-1012-4c1c-ace0-0f100383fda2,authentication
2456b3b6-1012-4c1c-ace0-0f100383fda2,database
2456b3b6-1012-4c1c-ace0-0f100383fda2,monitoring
2456b3b6-1012-4c1c-ace0-0f100383fda2,payment
2456b3b6-1012-4c1c-ace0-0f100383fda2,security
994cd260-66b9-4291-84bc-98f04cd9a7f1,api
994cd260-66b9-4291-84bc-98f04cd9a7f1,authentication
994cd260-66b9-4291-84bc-98f04cd9a7f1,database
994cd260-66b9-4291-84bc-98f04cd9a7f1,monitoring
994cd260-66b9-4291-84bc-98f04cd9a7f1,payment
994cd260-66b9-4291-84bc-98f04cd9a7f1,security
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,api
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,authentication
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,database
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,monitoring
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,payment
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,security
af84081d-f743-43b4-9871-c257fcfaf870,api
af84081d-f743-43b4-9871-c257fcfaf870,authentication
af84081d-f743-43b4-9871-c257fcfaf870,database
af84081d-f743-43b4-9871-c257fcfaf870,monitoring
af84081d-f743-43b4-9871-c257fcfaf870,payment
af84081d-f743-43b4-9871-c257fcfaf870,security
6364ddf9-5003-46c7-b3ee-06947120b0dc,api
6364ddf9-5003-46c7-b3ee-06947120b0dc,authentication
6364ddf9-5003-46c7-b3ee-06947120b0dc,database
6364ddf9-5003-46c7-b3ee-06947120b0dc,monitoring
6364ddf9-5003-46c7-b3ee-06947120b0dc,payment
6364ddf9-5003-46c7-b3ee-06947120b0dc,security
54e48239-6fe9-4a4c-8559-d10072f4673a,api
54e48239-6fe9-4a4c-8559-d10072f4673a,authentication
54e48239-6fe9-4a4c-8559-d10072f4673a,database
54e48239-6fe9-4a4c-8559-d10072f4673a,monitoring
54e48239-6fe9-4a4c-8559-d10072f4673a,payment
54e48239-6fe9-4a4c-8559-d10072f4673a,security
55c975e3-18d8-4af6-be4c-dc5be06d881d,api
55c975e3-18d8-4af6-be4c-dc5be06d881d,authentication
55c975e3-18d8-4af6-be4c-dc5be06d881d,database
55c975e3-18d8-4af6-be4c-dc5be06d881d,monitoring
55c975e3-18d8-4af6-be4c-dc5be06d881d,payment
55c975e3-18d8-4af6-be4c-dc5be06d881d,security
30a407a5-4af5-42e5-8400-e5df314732e2,api
30a407a5-4af5-42e5-8400-e5df314732e2,authentication
30a407a5-4af5-42e5-8400-e5df314732e2,database
30a407a5-4af5-42e5-8400-e5df314732e2,monitoring
30a407a5-4af5-42e5-8400-e5df314732e2,payment
30a407a5-4af5-42e5-8400-e5df314732e2,security
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,api
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,authentication
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,dashboard
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,database
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,portfolio
963b382c-a761-465c-b417-02501d107650,api
963b382c-a761-465c-b417-02501d107650,authentication
963b382c-a761-465c-b417-02501d107650,database
963b382c-a761-465c-b417-02501d107650,monitoring
963b382c-a761-465c-b417-02501d107650,payment
963b382c-a761-465c-b417-02501d107650,security
bdf2e0fb-7dde-478e-a48e-d363192d733c,api
bdf2e0fb-7dde-478e-a48e-d363192d733c,authentication
bdf2e0fb-7dde-478e-a48e-d363192d733c,database
bdf2e0fb-7dde-478e-a48e-d363192d733c,monitoring
bdf2e0fb-7dde-478e-a48e-d363192d733c,payment
bdf2e0fb-7dde-478e-a48e-d363192d733c,security
31814643-600d-495d-8d8e-200317f998bf,api
31814643-600d-495d-8d8e-200317f998bf,authentication
31814643-600d-495d-8d8e-200317f998bf,database
31814643-600d-495d-8d8e-200317f998bf,monitoring
31814643-600d-495d-8d8e-200317f998bf,payment
31814643-600d-495d-8d8e-200317f998bf,security
3ca65cde-afba-402a-a609-514162c04b49,api
3ca65cde-afba-402a-a609-514162c04b49,authentication
3ca65cde-afba-402a-a609-514162c04b49,database
3ca65cde-afba-402a-a609-514162c04b49,monitoring
3ca65cde-afba-402a-a609-514162c04b49,payment
3ca65cde-afba-402a-a609-514162c04b49,security
e8306358-7f14-4b3a-85e2-38c42a2025c5,api
e8306358-7f14-4b3a-85e2-38c42a2025c5,authentication
e8306358-7f14-4b3a-85e2-38c42a2025c5,database
e8306358-7f14-4b3a-85e2-38c42a2025c5,monitoring
e8306358-7f14-4b3a-85e2-38c42a2025c5,payment
e8306358-7f14-4b3a-85e2-38c42a2025c5,security
762cb3e5-3aad-4234-9035-0792b876af01,api
762cb3e5-3aad-4234-9035-0792b876af01,authentication
762cb3e5-3aad-4234-9035-0792b876af01,database
762cb3e5-3aad-4234-9035-0792b876af01,monitoring
762cb3e5-3aad-4234-9035-0792b876af01,payment
762cb3e5-3aad-4234-9035-0792b876af01,security
48078344-8da1-4ee7-8dba-049b8b3e0ec6,api
48078344-8da1-4ee7-8dba-049b8b3e0ec6,authentication
48078344-8da1-4ee7-8dba-049b8b3e0ec6,database
48078344-8da1-4ee7-8dba-049b8b3e0ec6,monitoring
48078344-8da1-4ee7-8dba-049b8b3e0ec6,payment
48078344-8da1-4ee7-8dba-049b8b3e0ec6,security
6a871b02-00ea-42b9-b16d-c14212aa34a3,api
6a871b02-00ea-42b9-b16d-c14212aa34a3,authentication
6a871b02-00ea-42b9-b16d-c14212aa34a3,database
6a871b02-00ea-42b9-b16d-c14212aa34a3,monitoring
6a871b02-00ea-42b9-b16d-c14212aa34a3,payment
6a871b02-00ea-42b9-b16d-c14212aa34a3,security
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,api
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,authentication
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,database
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,monitoring
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,payment
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,security
e0e532a2-b8af-43df-98af-90f00445b67c,api
e0e532a2-b8af-43df-98af-90f00445b67c,authentication
e0e532a2-b8af-43df-98af-90f00445b67c,database
e0e532a2-b8af-43df-98af-90f00445b67c,monitoring
