venture_id,repo_name,source
00820f11-bc63-4ed5-b515-a9250718b65d,LightRAG,capability_match
00820f11-bc63-4ed5-b515-a9250718b65d,con-001-ace-construction,capability_match
00820f11-bc63-4ed5-b515-a9250718b65d,mission-control,capability_match
00902fe8-6b68-4e23-84ca-67eff90fc22b,LightRAG,capability_match
00902fe8-6b68-4e23-84ca-67eff90fc22b,con-001-ace-construction,capability_match
00902fe8-6b68-4e23-84ca-67eff90fc22b,mission-control,capability_match
012af0d5-5417-42ba-8396-a5b6a507f98a,LightRAG,capability_match
012af0d5-5417-42ba-8396-a5b6a507f98a,mission-control,capability_match
012af0d5-5417-42ba-8396-a5b6a507f98a,opensre,capability_match
0142298f-d27e-4f27-b9f7-621d7df2051d,LightRAG,capability_match
0142298f-d27e-4f27-b9f7-621d7df2051d,mission-control,capability_match
0142298f-d27e-4f27-b9f7-621d7df2051d,opensre,capability_match
016c0093-6720-41b3-893a-c55ff3677484,LightRAG,capability_match
016c0093-6720-41b3-893a-c55ff3677484,mission-control,capability_match
016c0093-6720-41b3-893a-c55ff3677484,opensre,capability_match
01c5e938-dbea-4bc7-9cdf-441ebc75c1a6,LightRAG,capability_match
01c5e938-dbea-4bc7-9cdf-441ebc75c1a6,mission-control,capability_match
01c5e938-dbea-4bc7-9cdf-441ebc75c1a6,opensre,capability_match
01d525cb-7d20-400d-8755-feb73fdad2be,LightRAG,capability_match
01d525cb-7d20-400d-8755-feb73fdad2be,mission-control,capability_match
01d525cb-7d20-400d-8755-feb73fdad2be,opensre,capability_match
01f74934-8d29-4292-86d9-4a5c6af217ed,LightRAG,capability_match
01f74934-8d29-4292-86d9-4a5c6af217ed,mission-control,capability_match
01f74934-8d29-4292-86d9-4a5c6af217ed,opensre,capability_match
0237b0cc-4b8b-4979-9c97-31ecd9f9645d,LightRAG,capability_match
0237b0cc-4b8b-4979-9c97-31ecd9f9645d,mission-control,capability_match
0237b0cc-4b8b-4979-9c97-31ecd9f9645d,opensre,capability_match
02ee37b5-eb8a-4f42-ad94-79b7e5472d22,LightRAG,capability_match
02ee37b5-eb8a-4f42-ad94-79b7e5472d22,mission-control,capability_match
02ee37b5-eb8a-4f42-ad94-79b7e5472d22,opensre,capability_match
03bdd08f-74c4-4136-9e20-b1116922c386,LightRAG,capability_match
03bdd08f-74c4-4136-9e20-b1116922c386,mission-control,capability_match
03bdd08f-74c4-4136-9e20-b1116922c386,opensre,capability_match
043c6a81-c6f6-40e2-9124-2b0e3558d65b,LightRAG,capability_match
043c6a81-c6f6-40e2-9124-2b0e3558d65b,mission-control,capability_match
043c6a81-c6f6-40e2-9124-2b0e3558d65b,opensre,capability_match
04a3ad6b-edcf-4945-ba81-ca8e0ca8a265,LightRAG,capability_match
04a3ad6b-edcf-4945-ba81-ca8e0ca8a265,mission-control,capability_match
04a3ad6b-edcf-4945-ba81-ca8e0ca8a265,opensre,capability_match
0560c36b-06ee-4de2-97ab-60b75d4d1036,LightRAG,capability_match
0560c36b-06ee-4de2-97ab-60b75d4d1036,mission-control,capability_match
0560c36b-06ee-4de2-97ab-60b75d4d1036,opensre,capability_match
05724c9d-2438-42d6-acb5-d56a1ee13700,LightRAG,capability_match
05724c9d-2438-42d6-acb5-d56a1ee13700,mission-control,capability_match
05724c9d-2438-42d6-acb5-d56a1ee13700,opensre,capability_match
05824164-ab9d-4a98-bebc-2cbae6913530,opensre,capability_match
05824164-ab9d-4a98-bebc-2cbae6913530,vibe-kanban,capability_match
05824164-ab9d-4a98-bebc-2cbae6913530,vibetunnel,capability_match
058bc6e3-2b03-4234-ade7-5bdc10a27e79,LightRAG,capability_match
058bc6e3-2b03-4234-ade7-5bdc10a27e79,mission-control,capability_match
058bc6e3-2b03-4234-ade7-5bdc10a27e79,opensre,capability_match
06018304-6677-466a-b2ca-48b723420496,LightRAG,capability_match
06018304-6677-466a-b2ca-48b723420496,mission-control,capability_match
06018304-6677-466a-b2ca-48b723420496,opensre,capability_match
068d1f15-87ae-483c-8f6d-d720b47353ad,LightRAG,capability_match
068d1f15-87ae-483c-8f6d-d720b47353ad,mission-control,capability_match
068d1f15-87ae-483c-8f6d-d720b47353ad,opensre,capability_match
070d3984-7a16-478c-af2d-eb1ee1956679,LightRAG,capability_match
070d3984-7a16-478c-af2d-eb1ee1956679,mission-control,capability_match
070d3984-7a16-478c-af2d-eb1ee1956679,opensre,capability_match
0811dbca-04ed-4e24-a051-2fc8ab94d028,LightRAG,capability_match
0811dbca-04ed-4e24-a051-2fc8ab94d028,mission-control,capability_match
0811dbca-04ed-4e24-a051-2fc8ab94d028,opensre,capability_match
082c9549-b479-4b6b-a94d-039c24a9fd70,LightRAG,capability_match
082c9549-b479-4b6b-a94d-039c24a9fd70,mission-control,capability_match
082c9549-b479-4b6b-a94d-039c24a9fd70,opensre,capability_match
082e7623-58f3-484b-a306-43d607fbf147,LightRAG,capability_match
082e7623-58f3-484b-a306-43d607fbf147,mission-control,capability_match
082e7623-58f3-484b-a306-43d607fbf147,opensre,capability_match
08b32575-d364-4c67-9e6a-137ee4e37c58,LightRAG,capability_match
08b32575-d364-4c67-9e6a-137ee4e37c58,mission-control,capability_match
08b32575-d364-4c67-9e6a-137ee4e37c58,opensre,capability_match
09093afd-1fab-450c-b158-2987b6224e27,LightRAG,capability_match
09093afd-1fab-450c-b158-2987b6224e27,mission-control,capability_match
09093afd-1fab-450c-b158-2987b6224e27,opensre,capability_match
0955b8a2-ea66-407c-b8f4-ff66a162c9f9,LightRAG,capability_match
0955b8a2-ea66-407c-b8f4-ff66a162c9f9,mission-control,capability_match
0955b8a2-ea66-407c-b8f4-ff66a162c9f9,opensre,capability_match
09da8b0a-9a94-461e-a1ac-3009d7e8cf5e,LightRAG,capability_match
09da8b0a-9a94-461e-a1ac-3009d7e8cf5e,mission-control,capability_match
09da8b0a-9a94-461e-a1ac-3009d7e8cf5e,opensre,capability_match
0a663217-7731-41d7-873f-13f9742a9a8c,LightRAG,capability_match
0a663217-7731-41d7-873f-13f9742a9a8c,mission-control,capability_match
0a663217-7731-41d7-873f-13f9742a9a8c,opensre,capability_match
0ade2bf0-c2a2-4373-9179-2c773ea44a76,LightRAG,capability_match
0ade2bf0-c2a2-4373-9179-2c773ea44a76,mission-control,capability_match
0ade2bf0-c2a2-4373-9179-2c773ea44a76,opensre,capability_match
0b5c6433-971d-4b04-94f9-6fca2e22d482,LightRAG,capability_match
0b5c6433-971d-4b04-94f9-6fca2e22d482,mission-control,capability_match
0b5c6433-971d-4b04-94f9-6fca2e22d482,opensre,capability_match
0b77ec4f-069c-4cec-a1ab-e512b6112c51,LightRAG,capability_match
0b77ec4f-069c-4cec-a1ab-e512b6112c51,mission-control,capability_match
0b77ec4f-069c-4cec-a1ab-e512b6112c51,opensre,capability_match
0c242bc0-f5ff-4fdc-b9d4-9852ef03e2e9,LightRAG,capability_match
0c242bc0-f5ff-4fdc-b9d4-9852ef03e2e9,mission-control,capability_match
0c242bc0-f5ff-4fdc-b9d4-9852ef03e2e9,opensre,capability_match
0c6aee03-1791-4ee5-be62-3b728b329507,LightRAG,capability_match
0c6aee03-1791-4ee5-be62-3b728b329507,mission-control,capability_match
0c6aee03-1791-4ee5-be62-3b728b329507,opensre,capability_match
0cb23daa-89cf-4024-8d48-19ef3070544b,LightRAG,capability_match
0cb23daa-89cf-4024-8d48-19ef3070544b,mission-control,capability_match
0cb23daa-89cf-4024-8d48-19ef3070544b,opensre,capability_match
