venture_id_human,venture_name,sector,uuid_classification,in_classification
FIN-001-GenixBank-Lite,Genixbank Lite,fintech,3b1b67db-86a0-43f5-ab28-c3c8f2e30747,yes
FIN-002-Credit-Repair-Automation,Credit Repair Automation,fintech,963b382c-a761-465c-b417-02501d107650,yes
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,fintech,bdf2e0fb-7dde-478e-a48e-d363192d733c,yes
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,fintech,358c0fb7-60f0-49f0-af22-165ab5d8088a,yes
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,fintech,31814643-600d-495d-8d8e-200317f998bf,yes
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,fintech,15572af9-e058-492c-b9e9-0938b4d07fb7,yes
FIN-007-Business-Credit-Building,Business Credit Building,fintech,146ed62c-d9e8-4285-b2c8-8b852dbfa76b,yes
FIN-008-Business-Formation-Services,Business Formation Services,fintech,e8306358-7f14-4b3a-85e2-38c42a2025c5,yes
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,fintech,762cb3e5-3aad-4234-9035-0792b876af01,yes
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,fintech,48078344-8da1-4ee7-8dba-049b8b3e0ec6,yes
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,fintech,6a871b02-00ea-42b9-b16d-c14212aa34a3,yes
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,fintech,dccea2da-3d6e-4869-8e37-65d90a529fa4,yes
FIN-013-Charity-Donation-AI,Charity Donation Ai,fintech,f9de7000-12db-42f4-bf35-6dda7e18e11d,yes
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,fintech,2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,yes
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,fintech,3d54893a-074f-4fbe-834c-e5290d6a81dd,yes
FIN-016-Trade-Finance-AI,Trade Finance Ai,fintech,01f74934-8d29-4292-86d9-4a5c6af217ed,yes
FIN-017-Remittance-AI,Remittance Ai,fintech,60598b62-cd1d-4be5-8021-3cb3bf7ff370,yes
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,fintech,6ecd4ac6-2f01-42c2-8719-7ed67242746e,yes
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,fintech,2b8ec933-7b91-4aa0-b80a-788d979179e1,yes
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,fintech,62adf78e-c391-4e8d-a0c5-c45f73b4fa06,yes
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,fintech,987c8140-a75c-4ba6-a401-fe9f9835b963,yes
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,fintech,55c975e3-18d8-4af6-be4c-dc5be06d881d,yes
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,fintech,30a407a5-4af5-42e5-8400-e5df314732e2,yes
FIN-024-Crowdfunding-AI,Crowdfunding Ai,fintech,bb1e8456-d7f0-44fa-a8c3-7fc7cf06363a,yes
FIN-025-Escrow-Automation,Escrow Automation,fintech,2c7f67bd-5ef9-43dc-9415-a20b5785d344,yes
FIN-026-Financial-Compliance-Scanner,Financial Compliance Scanner,fintech,,no
FIN-027-Patent-Writer-AI,Patent Writer Ai,fintech,,no
FIN-028-Legal-Analyzer-AI,Legal Analyzer Ai,fintech,,no
FIN-029-Compliance-Wallet-SaaS,Compliance Wallet Saas,fintech,,no
FIN-030-Local-SEO-Ranker-AI,Local Seo Ranker Ai,fintech,,no
FIN-031-Investor-Dashboard-Builder,Investor Dashboard Builder,fintech,,no
FIN-032-Legal-Toolkit-AI,Legal Toolkit Ai,fintech,,no
FIN-033-AI-Tax-Preparation-Service,Ai Tax Preparation Service,fintech,,no
FIN-034-Payroll-Automation,Payroll Automation,fintech,,no
FIN-035-Insurance-Underwriting-AI,Insurance Underwriting Ai,fintech,,no
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,fintech,,no
BW-001-Lash-Extension-Studio,Lash Extension Studio,beauty,,no
BW-002-Mobile-Lash-Service,Mobile Lash Service,beauty,,no
BW-003-Luxury-Lash-Bar,Luxury Lash Bar,beauty,,no
BW-004-Lash-Training-Academy,Lash Training Academy,beauty,,no
BW-005-Lash-Supply-Company,Lash Supply Company,beauty,,no
BW-006-Lash-Glue-Brand,Lash Glue Brand,beauty,,no
BW-007-Lash-Kits-&-Tools,Lash Kits & Tools,beauty,,no
BW-008-Private-Label-Lashes,Private Label Lashes,beauty,,no
BW-009-Franchise-Lash-Salons,Franchise Lash Salons,beauty,,no
BW-010-Online-Lash-Education,Online Lash Education,beauty,,no
BW-011-Nail-Salon,Nail Salon,beauty,,no
BW-012-Mobile-Nail-Tech,Mobile Nail Tech,beauty,,no
BW-013-Luxury-Nail-Spa,Luxury Nail Spa,beauty,,no
BW-014-Press-On-Nail-Brand,Press On Nail Brand,beauty,,no
BW-015-Nail-Art-Studio,Nail Art Studio,beauty,,no
