master_id,uuid,name,sector
COMM-001-Luminary-Worldwide-Events,51b7c13a-d958-4d87-91c1-e4a5a49a789a,Luminary Worldwide Events,market
COMM-002-Brotherhood-Coaching-Network,c4a823cd-b52a-41a9-bea1-1a9762807f93,Brotherhood Coaching Network,market
COMM-003-Ace-Senior-Care-Connect,5d0712c4-19f4-4fb0-9fd5-456d688e791b,Ace Senior Care Connect,market
COMM-004-Community-Outreach-Nonprofit,a0243d57-44bb-4d84-b65b-6f365551c43a,Community Outreach Nonprofit,market
COMM-005-Ace-Food-Security-AI,96ce7a14-8c57-4c0a-9b22-e4e72ca2b6f5,Ace Food Security Ai,market
COMM-006-Community-Technology-Access-AI,691a2d51-26a0-40db-b14e-e62995a73f5e,Community Technology Access Ai,market
COMM-007-Youth-Leadership-AI,90169a53-ccf0-4bae-b9c5-b8e5c953859b,Youth Leadership Ai,market
COMM-008-Community-Fundraising-AI,bbdddf73-f481-4f73-ada7-6fb998501bd2,Community Fundraising Ai,market
COMM-009-Volunteer-Hub-AI,8d2ef00c-2f60-47ea-8d5f-f94e8b8bc701,Volunteer Hub Ai,market
COMM-010-Disaster-Relief-AI,3a4480a4-8bd4-4746-a444-4858dec05e59,Disaster Relief Ai,market
COMM-011-Indigenous-Creator-Hub,2016874b-887e-4fde-9df6-a28ab07a7f94,Indigenous Creator Hub,market
COMM-012-Black-Art-Museum-AI,28186c7a-9e4b-4b2c-884c-2bf6a7750009,Black Art Museum Ai,market
COMM-013-Women-s-Empowerment-Network,858c5450-298c-4bd6-bf37-1ab288b1963c,Women S Empowerment Network,market
COMM-014-Veterans-Support-AI,7c7d17f8-d8d1-42ae-8d45-fe0baffe69f4,Veterans Support Ai,market
COMM-015-Youth-Mentorship-Program,e9e457f0-1c93-4c87-b5c2-3ca4024270b0,Youth Mentorship Program,market
COMM-016-Community-Health-AI,1f0860d6-28de-4dc9-94a9-b47451525e36,Community Health Ai,market
COMM-017-Local-Business-Directory,a62dd704-6931-4492-a602-8b69579a8f1a,Local Business Directory,market
COMM-018-Neighborhood-Watch-AI,c6c67e0b-3945-4ce9-a06a-bc4908a07584,Neighborhood Watch Ai,market
COMM-019-Community-Garden-AI,5dd46624-6e8a-467e-9e4b-b23248929ede,Community Garden Ai,market
COMM-020-Public-Transportation-AI,97e20624-c42a-4c26-a4f2-b2b4a23cf7e0,Public Transportation Ai,market
COMM-021-Housing-Assistance-AI,e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,Housing Assistance Ai,market
COMM-022-Job-Training-Center,1e024252-6dd8-4413-b4c2-462db4ed5320,Job Training Center,market
COMM-023-Elder-Companion-AI,8d2079c2-7cd5-4858-a4e4-38f13d063054,Elder Companion Ai,market
COMM-024-Youth-Sports-AI,ed6015ca-25bd-44a5-830a-0c133c775458,Youth Sports Ai,market
COMM-025-Community-Legal-Aid,a479d43e-385b-4695-ad6d-7a846697369e,Community Legal Aid,market
COMM-026-Public-Education-AI,043c6a81-c6f6-40e2-9124-2b0e3558d65b,Public Education Ai,market
COMM-027-Local-Government-AI,a28e1c68-b54f-4a44-baa8-3b710f6e7068,Local Government Ai,market
COMM-028-Public-Safety-AI,8ec68695-7424-4caa-8100-8f600999db01,Public Safety Ai,market
COMM-029-Community-Wellness-AI,84c1bc81-7c50-455d-958b-e6d4af9b2a24,Community Wellness Ai,market
COMM-030-Cultural-Exchange-AI,6fc00e9b-1417-49ba-b99e-9123e2f6e0aa,Cultural Exchange Ai,market
COMM-031-Community-Investment-AI,f2a88c1a-16a4-4338-8635-285e380fa9eb,Community Investment Ai,market
COMM-032-Public-Health-AI,dc375d7b-5925-4346-b232-33e7c09e91ac,Public Health Ai,market
COMM-033-Youth-Innovation-Hub,35805956-8944-40e8-a4f4-8977fb6b3746,Youth Innovation Hub,market
COMM-034-Senior-Tech-Support,4a1ed3f5-3513-4d52-8bf2-18010dc65aa3,Senior Tech Support,market
COMM-035-Community-Arts-AI,05724c9d-2438-42d6-acb5-d56a1ee13700,Community Arts Ai,market
COMM-036-Public-Infrastructure-AI,68ec8784-6ac5-4852-ae40-3b82fd4d010e,Public Infrastructure Ai,market
COMM-037-Neighborhood-Development-AI,42958522-0037-4ce0-a015-4a45bd3df1b6,Neighborhood Development Ai,market
