venture_id,venture_name,sector,required_shared_services,service_count
FIN-001-GenixBank-Lite,Genixbank Lite,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-002-Credit-Repair-Automation,Credit Repair Automation,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-007-Business-Credit-Building,Business Credit Building,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-008-Business-Formation-Services,Business Formation Services,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-013-Charity-Donation-AI,Charity Donation Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-016-Trade-Finance-AI,Trade Finance Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-017-Remittance-AI,Remittance Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-023-Investment-Portfolio-AI,Investment Portfolio Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
FIN-024-Crowdfunding-AI,Crowdfunding Ai,fintech,shared-kernels | iza-os-financial-core | genixbank-financial-system | iza-os-hr-core,4
