source_repo,relationship,target,source_url
bw-001-up-next-code,POWERS,BW-001,https://github.com/Worldwidebro/bw-001-up-next-code
bw-001-up-next-code,POWERS,CON-010,https://github.com/Worldwidebro/bw-001-up-next-code
bw-001-up-next-code,POWERS,CON-012,https://github.com/Worldwidebro/bw-001-up-next-code
bw-001-up-next-code,ENABLES,Automation,https://github.com/Worldwidebro/bw-001-up-next-code
bw-001-up-next-code,ENABLES,Storage,https://github.com/Worldwidebro/bw-001-up-next-code
bw-001-up-next-business,POWERS,BW-001,https://github.com/Worldwidebro/bw-001-up-next-business
tech-060-ai-training-platform,POWERS,TECH-060,https://github.com/Worldwidebro/tech-060-ai-training-platform
tech-059-predictive-analytics-ai,POWERS,TECH-059,https://github.com/Worldwidebro/tech-059-predictive-analytics-ai
tech-059-predictive-analytics-ai,POWERS,CON-009,https://github.com/Worldwidebro/tech-059-predictive-analytics-ai
tech-059-predictive-analytics-ai,POWERS,CON-012,https://github.com/Worldwidebro/tech-059-predictive-analytics-ai
tech-059-predictive-analytics-ai,ENABLES,Analytics,https://github.com/Worldwidebro/tech-059-predictive-analytics-ai
tech-058-ai-ethics-auditor,POWERS,TECH-058,https://github.com/Worldwidebro/tech-058-ai-ethics-auditor
tech-057-machine-learning-builder,POWERS,TECH-057,https://github.com/Worldwidebro/tech-057-machine-learning-builder
tech-056-virtual-assistant-builder,POWERS,TECH-056,https://github.com/Worldwidebro/tech-056-virtual-assistant-builder
tech-055-ai-testing-platform,POWERS,TECH-055,https://github.com/Worldwidebro/tech-055-ai-testing-platform
tech-055-ai-testing-platform,ENABLES,Testing,https://github.com/Worldwidebro/tech-055-ai-testing-platform
tech-054-database-optimizer,POWERS,TECH-054,https://github.com/Worldwidebro/tech-054-database-optimizer
tech-054-database-optimizer,ENABLES,Storage,https://github.com/Worldwidebro/tech-054-database-optimizer
tech-053-network-security-ai,POWERS,TECH-053,https://github.com/Worldwidebro/tech-053-network-security-ai
tech-053-network-security-ai,ENABLES,Security,https://github.com/Worldwidebro/tech-053-network-security-ai
tech-052-recommendation-engine,POWERS,TECH-052,https://github.com/Worldwidebro/tech-052-recommendation-engine
tech-051-fraud-prevention-ai,POWERS,TECH-051,https://github.com/Worldwidebro/tech-051-fraud-prevention-ai
tech-049-speech-to-text-ai,POWERS,TECH-049,https://github.com/Worldwidebro/tech-049-speech-to-text-ai
tech-048-video-editor-ai,POWERS,TECH-048,https://github.com/Worldwidebro/tech-048-video-editor-ai
tech-048-video-editor-ai,ENABLES,Video,https://github.com/Worldwidebro/tech-048-video-editor-ai
tech-047-image-recognition-ai,POWERS,TECH-047,https://github.com/Worldwidebro/tech-047-image-recognition-ai
tech-046-sentiment-analyzer,POWERS,TECH-046,https://github.com/Worldwidebro/tech-046-sentiment-analyzer
tech-045-workflow-automation,POWERS,TECH-045,https://github.com/Worldwidebro/tech-045-workflow-automation
tech-045-workflow-automation,POWERS,CON-010,https://github.com/Worldwidebro/tech-045-workflow-automation
tech-045-workflow-automation,POWERS,CON-012,https://github.com/Worldwidebro/tech-045-workflow-automation
tech-045-workflow-automation,ENABLES,Automation,https://github.com/Worldwidebro/tech-045-workflow-automation
tech-044-data-visualization-ai,POWERS,TECH-044,https://github.com/Worldwidebro/tech-044-data-visualization-ai
tech-043-supply-chain-optimizer,POWERS,TECH-043,https://github.com/Worldwidebro/tech-043-supply-chain-optimizer
tech-042-smart-home-ai,POWERS,TECH-042,https://github.com/Worldwidebro/tech-042-smart-home-ai
tech-041-content-studio-ai,POWERS,TECH-041,https://github.com/Worldwidebro/tech-041-content-studio-ai
tech-041-content-studio-ai,ENABLES,Content Generation,https://github.com/Worldwidebro/tech-041-content-studio-ai
tech-040-cybersecurity-shield,POWERS,TECH-040,https://github.com/Worldwidebro/tech-040-cybersecurity-shield
tech-040-cybersecurity-shield,ENABLES,Security,https://github.com/Worldwidebro/tech-040-cybersecurity-shield
tech-039-blockchain-verifier-ai,POWERS,TECH-039,https://github.com/Worldwidebro/tech-039-blockchain-verifier-ai
tech-038-voice-assistant-ai,POWERS,TECH-038,https://github.com/Worldwidebro/tech-038-voice-assistant-ai
tech-037-customer-insights-ai,POWERS,TECH-037,https://github.com/Worldwidebro/tech-037-customer-insights-ai
tech-035-cloud-management-ai,POWERS,TECH-035,https://github.com/Worldwidebro/tech-035-cloud-management-ai
tech-034-ai-compliance-scanner,POWERS,TECH-034,https://github.com/Worldwidebro/tech-034-ai-compliance-scanner
tech-034-ai-compliance-scanner,ENABLES,Security,https://github.com/Worldwidebro/tech-034-ai-compliance-scanner
tech-033-quantum-algorithm-ai,POWERS,TECH-033,https://github.com/Worldwidebro/tech-033-quantum-algorithm-ai
tech-032-ai-integration-hub,POWERS,TECH-032,https://github.com/Worldwidebro/tech-032-ai-integration-hub
tech-031-edge-computing-ai,POWERS,TECH-031,https://github.com/Worldwidebro/tech-031-edge-computing-ai
tech-030-ai-monitoring-system,POWERS,TECH-030,https://github.com/Worldwidebro/tech-030-ai-monitoring-system
tech-030-ai-monitoring-system,POWERS,LT-009,https://github.com/Worldwidebro/tech-030-ai-monitoring-system
tech-030-ai-monitoring-system,ENABLES,Monitoring,https://github.com/Worldwidebro/tech-030-ai-monitoring-system
tech-029-digital-twin-ai,POWERS,TECH-029,https://github.com/Worldwidebro/tech-029-digital-twin-ai
tech-028-ai-training-platform,POWERS,TECH-028,https://github.com/Worldwidebro/tech-028-ai-training-platform
tech-027-predictive-analytics-ai,POWERS,TECH-027,https://github.com/Worldwidebro/tech-027-predictive-analytics-ai
tech-027-predictive-analytics-ai,POWERS,CON-009,https://github.com/Worldwidebro/tech-027-predictive-analytics-ai
tech-027-predictive-analytics-ai,POWERS,CON-012,https://github.com/Worldwidebro/tech-027-predictive-analytics-ai
tech-027-predictive-analytics-ai,ENABLES,Analytics,https://github.com/Worldwidebro/tech-027-predictive-analytics-ai
tech-026-ai-ethics-auditor,POWERS,TECH-026,https://github.com/Worldwidebro/tech-026-ai-ethics-auditor
ventures,ENABLES,Storage,https://github.com/Worldwidebro/ventures
venture-pipeline,POWERS,CON-009,https://github.com/Worldwidebro/venture-pipeline
venture-pipeline,POWERS,CON-011,https://github.com/Worldwidebro/venture-pipeline
venture-pipeline,POWERS,OPS-001,https://github.com/Worldwidebro/venture-pipeline
venture-pipeline,ENABLES,CRM,https://github.com/Worldwidebro/venture-pipeline
venture-factory-core,POWERS,CON-010,https://github.com/Worldwidebro/venture-factory-core
venture-factory-core,POWERS,CON-012,https://github.com/Worldwidebro/venture-factory-core
