Job_ID,Company,Job_Title,Location,Salary,Job_URL,Applied_Date,Status,Recruiter_Contact,Notes,Interview_Date,Outcome
1,Parker and Sons,Residential Service Electrician,Phoenix AZ,$100K-$200K,https://to.indeed.com/aap8vtjcsgqn,,Not Applied,,Highest salary; troubleshooting match,,
2,System One,Industrial Journeyman Electrician,Charlotte NC,$45.97/hr,https://to.indeed.com/aahjjknmz294,,Not Applied,,Siemens Energy project; premium work,,
3,Alexander Rose International,Superintendent,Charlotte NC,$130K-$150K,https://to.indeed.com/aarz8vm7w7yc,,Not Applied,,Leadership track; highest title potential,,
4,DP Electric,Electrical Foreman,Tempe AZ,Competitive+$10K,https://to.indeed.com/aah4ck6nyhfp,,Not Applied,,$10K sign-on bonus; employee-owned,,
5,Stelco Electric,Lead Electrician/Foreman,Charlotte NC,$35-$45/hr,https://to.indeed.com/aa8mnzv6vmhb,,Not Applied,,Direct leverage of lead experience,,
6,DPR Construction,Journeyman Electrician,Charlotte NC,$76K-$111K,https://to.indeed.com/aatzjc8cctlq,,Not Applied,,Employee-owned; 8+ yrs exp required,,
7,RECORE Electrical,Journeyman Electrician,Charlotte NC,$66K-$96K,https://to.indeed.com/aadztq4vrltd,,Not Applied,,General electrical work,,
8,Gaylor Electric,Traveling Journeyman Electrician,Charlotte NC,$58K-$78K,https://to.indeed.com/aacc82zmc94t,,Not Applied,,Traveling role,,
9,We Power America,Journeyman Electrician,Charlotte NC,$32-$45/hr,https://to.indeed.com/aablxtyytgmk,,Not Applied,,Same company as Phoenix office,,
10,We Power America,Journeyman Electrician,Phoenix AZ,$38-$52/hr,https://to.indeed.com/aagvbpylmmrc,,Not Applied,,100% paid benefits; guaranteed raises,,
11,Arizona Electric and Control,Journeyman Electrician,Phoenix AZ,$18-$30/hr,https://to.indeed.com/aazsvkbtgsg2,,Not Applied,,Entry-level salary range,,
12,Sunbelt Solomon,Rental Foreman - Electrician,Phoenix AZ,$52K-$75K,https://to.indeed.com/aaydjxxvpcyg,,Not Applied,,Foreman-level role,,
13,Mason Electric,Journeyman Electrician,Peoria AZ,$28-$34.94/hr,https://to.indeed.com/aayy8mch4vlg,,Not Applied,,Near Phoenix; hourly rate,,
14,FREDERICK ELECTRIC,Journeyman Electrician - Residential & Commercial,Glendale AZ,$30-$38/hr,https://to.indeed.com/aag829dsb78h,,Not Applied,,Leadership opportunity mentioned,,
15,Colter Electric,Journeymen and Apprentice Electrician,Phoenix AZ,$25-$35/hr,https://to.indeed.com/aaskzj6hxf2v,,Not Applied,,Immediate hiring; hourly rate,,
16,Ace Cooling/Heating/Plumbing/Electrical,Residential Electrician,Phoenix AZ,$70K-$140K,https://to.indeed.com/aajm42z6gbw6,,Not Applied,,Company vehicle; uncapped earnings,,
17,JFK Electrical Contracting,Electrician / Foreman / Leadman,Gilbert AZ,$30-$42/hr,https://to.indeed.com/aapsdtv7tdp7,,Not Applied,,Foreman role available,,
18,Magnetic Electric,Journeyman Electrician - Commercial/Residential/Fire Alarm,Charlotte NC,$24-$32/hr,https://to.indeed.com/aajs28wlrssw,,Not Applied,,Multi-specialty role; 5+ yrs required,,
19,IBEW,Journeyman Electrician,Rock Hill SC,$33.97-$40.66/hr,https://to.indeed.com/aabyhl7jrrrl,,Not Applied,,Union; nearby to Charlotte,,
20,Gaylor Electric,Journeyperson,Gastonia NC,$44K-$71K,https://to.indeed.com/aaxp9pvdnmzl,,Not Applied,,Nearby to Charlotte,,
21,Critical Energy Services,Traveling Licensed AC Service Electrician,North Carolina,$35-$37/hr,https://to.indeed.com/aak677ljbbh6,,Not Applied,,$150/day per diem; traveling,,
22,LaborWorx Industrial Staffing,Pipe Fitting General Foreman,Charlotte NC,$43.48+/hr,https://to.indeed.com/aazz4q2qlnqp,,Not Applied,,Foreman-level; industrial staffing,,
23,LaborWorx Industrial Staffing,Construction Field Foreman,Charlotte NC,$38.60+/hr,https://to.indeed.com/aaxff8rz8yq7,,Not Applied,,Field supervision role,,
24,Stelco Electric,Field Superintendent,Monroe NC,$85K-$105K,https://to.indeed.com/aabgwppfft6w,,Not Applied,,Higher-level superintendent role,,
25,Gold Express,Grading Foreman,Concord NC,$50K-$150K,https://to.indeed.com/aasgdbyjyz6y,,Not Applied,,Wide salary range; foreman role,,
26,Pyles Construction Services,Project Coordinator / Project Manager,Midland NC,$90K+,https://to.indeed.com/aajx7hjf6tgh,,Not Applied,,Administrative/management track,,
27,Alexander Rose International,Superintendent,Charlotte NC,$130K-$150K,https://to.indeed.com/aayl6r6dsqzj,,Not Applied,,Top-tier superintendent role (duplicate),,
28,Messer Construction,Sr. Safety Manager,Charlotte NC,$80K-$122K,https://to.indeed.com/aamnpgn22j4k,,Not Applied,,Safety management track,,
29,Wayne Brothers Inc.,Superintendent - Piping Systems,Davidson NC,$69K-$100K,https://to.indeed.com/aa87xyfryx9h,,Not Applied,,Specialized piping systems role,,
30,W3Global Inc.,CNC Lathe/Mill Supervisor,Kannapolis NC,$30-$40/hr,https://to.indeed.com/aahwf97rnnt6,,Not Applied,,Secondary skill leveraging (CNC),,
31,DNP Imagingcomm America,Manufacturing Process Technician,Concord NC,$30/hr,https://to.indeed.com/aa86ztwtvzyj,,Not Applied,,Secondary skill leveraging (manufacturing),,
