sku_id,category,garment_type,gender,colorways,source_images,priority,notes
AID-M-001,Tops,Boxy/Regular Tee,Men/Unisex,black|white|vintage wash,"4,5,6,14",core,
AID-M-002,Tops,Oversized Tee,Men/Unisex,black|cream,"4,14",core,
AID-M-003,Tops,Cropped Tee,Men/Unisex,black,5,core,
AID-M-004,Tops,Long Sleeve Tee,Men/Unisex,black|navy,"4,5,6",core,
AID-M-005,Tops,Rugby Shirt/Polo,Men/Unisex,black|cream/navy,"5,6,14",core,
AID-M-006,Tops,Thermal,Men/Unisex,cream|black,"4,5,6",core,
AID-M-007,Tops,Tank Top,Men/Unisex,white|purple|black,"12,14",core,
AID-M-008,Tops,Graphic Tee (saint/angel art),Men/Unisex,black|white|brown,14,variant,photo-print graphics
AID-M-009,Tops,Football Jersey,Men/Unisex,black/pink|black/white #14,"10,14",variant,
AID-M-010,Tops,Rash Guard,Men/Unisex,blue,14,variant,
AID-M-011,Hoodies,Heavyweight Hoodie,Men/Unisex,black|red,"5,6,12",hero,
AID-M-012,Hoodies,Cropped Hoodie,Men/Unisex,black,5,core,
AID-M-013,Hoodies,Vintage Wash Hoodie,Men/Unisex,grey|blue,"5,6",core,
AID-M-014,Hoodies,Zip Hoodie,Men/Unisex,black|red,"4,5,12,14",hero,
AID-M-015,Hoodies,Crewneck,Men/Unisex,black|blue,"4,5,6",core,
AID-M-016,Hoodies,Quarter Zip,Men/Unisex,black|beige,"4,5,6",core,
AID-M-017,Bottoms,Sweatpants,Men/Unisex,black|red|blue|grey,"4,5,6,14",core,
AID-M-018,Bottoms,Cargo Pants,Men/Unisex,black|green,"4,5,6",core,
AID-M-019,Bottoms,Denim Jeans,Men/Unisex,black|indigo,"4,14",core,
AID-M-020,Bottoms,Leather Pants,Men/Unisex,black,"4,5,6",core,
AID-M-021,Bottoms,Wide Sweats,Men/Unisex,grey|black,"5,6",core,
AID-M-022,Bottoms,Carpenter Pants,Men/Unisex,tan,5,core,
AID-M-023,Bottoms,Jorts,Men/Unisex,denim,5,core,
AID-M-024,Bottoms,Mesh Shorts,Men/Unisex,black|green|blue,"4,5,6,14",core,
AID-M-025,Bottoms,Leather Shorts,Men/Unisex,black w/ blue logo|black w/ pink logo,"1,2,3,4,5,6",hero,"SINGLES = hi-res, store-ready"
AID-M-026,Bottoms,Cargo Shorts,Men/Unisex,black,4,core,
AID-M-027,Bottoms,Basketball Shorts,Men/Unisex,black/white,4,core,
AID-M-028,Bottoms,Denim Shorts,Men/Unisex,indigo|black|patch,14,core,
AID-M-029,Bottoms,Sweatshorts,Men/Unisex,red|black|brown|blue,14,core,
AID-M-030,Outerwear,Varsity Jacket,Men/Unisex,black/cream,"4,5,6",core,
AID-M-031,Outerwear,Leather Jacket/Bomber,Men/Unisex,black,"4,5,6,10",hero,
AID-M-032,Outerwear,Racing Jacket,Men/Unisex,black/yellow AID Racing,"5,10,14",variant,
AID-M-033,Outerwear,Puffer Jacket,Men/Unisex,black,"4,5,6",core,
AID-M-034,Outerwear,Coach Jacket,Men/Unisex,black,4,core,
AID-M-035,Outerwear,Technical Jacket,Men/Unisex,black,5,core,
AID-M-036,Outerwear,Windbreaker,Men/Unisex,black,4,core,
AID-M-037,Outerwear,Overcoat,Men/Unisex,black,"5,6",core,
AID-M-038,Outerwear,Denim Jacket (distressed),Men/Unisex,green|brown|blue|grey,"13,14",hero,"4 colorways, front+back wing graphic"
AID-M-039,Headwear,Snapback,Men/Unisex,black,"4,5,6",core,
AID-M-040,Headwear,Fitted Cap,Men/Unisex,black,"4,5,6,14",core,
AID-M-041,Headwear,Trucker Hat,Men/Unisex,black,"4,5,6",core,
AID-M-042,Headwear,Dad Hat,Men/Unisex,black,"4,5",core,
AID-M-043,Headwear,Distressed Cap,Men/Unisex,black,5,core,
AID-M-044,Headwear,AID Logo Cap,Men/Unisex,brown|red|green,14,variant,
AID-M-045,Headwear,Beanie,Men/Unisex,black|cream|multicolor,"4,5,6,7",core,
AID-M-046,Headwear,Balaclava,Men/Unisex,black,4,core,
AID-M-047,Socks,Crew Socks,Men/Unisex,black|white,"4,5,6",core,
AID-M-048,Socks,Athletic Socks,Men/Unisex,white,"4,5,6",core,
AID-M-049,Socks,Embroidered Socks,Men/Unisex,black|white,"4,5,6",core,
AID-M-050,Athletic,Gym Shorts,Men/Unisex,black,4,core,
AID-M-051,Athletic,Compression Top,Men/Unisex,black,4,core,
AID-M-052,Athletic,Tracksuit,Men/Unisex,black,4,core,
AID-M-053,Athletic,Leggings,Men/Unisex,black,4,core,
AID-M-054,Footwear,Sneakers (low),Men/Unisex,black|cream,"4,5,6",core,
AID-M-055,Footwear,High Tops,Men/Unisex,black,"4,5,6",core,
AID-M-056,Footwear,Slides,Men/Unisex,black,"4,5,6",core,
AID-M-057,Footwear,Chunky Runners,Men/Unisex,black|cream,"5,6",core,
AID-M-058,Bottoms,Nylon Track Pants,Men/Unisex,pink|navy|orange|blue|yellow,7,variant,"windbreaker fabric, side script"
AID-M-059,Bottoms,Script Joggers,Men/Unisex,pink|navy|blue|orange|yellow,7,variant,
AID-W-001,W-Tops,Baby Tee,Women,white|black,9,core,
AID-W-002,W-Tops,Fitted Rib Tee,Women,black,9,core,
AID-W-003,W-Tops,Cropped Tee,Women,cream,9,core,
AID-W-004,W-Tops,Oversized Tee,Women,black,9,core,
AID-W-005,W-Tops,Corset Top,Women,cream,9,core,
AID-W-006,W-Tops,Long Sleeve,Women,grey,9,core,
AID-W-007,W-Hoodies,Cropped Zip Hoodie,Women,black|pink,9,core,
AID-W-008,W-Hoodies,Oversized Hoodie,Women,black|pink,9,core,
AID-W-009,W-Hoodies,Washed Hoodie,Women,black|pink,9,core,
AID-W-010,W-Hoodies,Full Zip Hoodie,Women,black|pink,9,core,
AID-W-011,W-Hoodies,Crop Hoodie,Women,black|pink,9,core,
