venture_id,name,sector,stage,status,repository_url,revenue_ytd,costs_mom,staff_count,blockers,next_action
FIN-001-GenixBank-Lite,Genixbank Lite,financial,planned,planned,https://github.com/Worldwidebro/fin-001-genixbank-lite,,,,,
FIN-002-Credit-Repair-Automation,Credit Repair Automation,financial,planned,planned,https://github.com/Worldwidebro/fin-002-credit-repair-automation,,,,,
FIN-003-AI-Boss-Hub-Lite,Ai Boss Hub Lite,financial,planned,planned,https://github.com/Worldwidebro/fin-003-ai-boss-hub-lite,,,,,
FIN-004-GenixBanks-AI-Treasurer,Genixbanks Ai Treasurer,financial,planned,planned,https://github.com/Worldwidebro/fin-004-genixbanks-ai-treasurer,,,,,
FIN-005-U-Haul-Rental-Affiliate,U Haul Rental Affiliate,financial,planned,planned,https://github.com/Worldwidebro/fin-005-u-haul-rental-affiliate,,,,,
FIN-006-Tax-Prep-Filing-Services,Tax Prep Filing Services,financial,planned,planned,https://github.com/Worldwidebro/fin-006-tax-prep-filing-services,,,,,
FIN-007-Business-Credit-Building,Business Credit Building,financial,planned,planned,https://github.com/Worldwidebro/fin-007-business-credit-building,,,,,
FIN-008-Business-Formation-Services,Business Formation Services,financial,planned,planned,https://github.com/Worldwidebro/fin-008-business-formation-services,,,,,
FIN-009-Crypto-Tax-Optimizer,Crypto Tax Optimizer,financial,planned,planned,https://github.com/Worldwidebro/fin-009-crypto-tax-optimizer,,,,,
FIN-010-AI-Powered-Garbage-Collection,Ai Powered Garbage Collection,financial,planned,planned,https://github.com/Worldwidebro/fin-010-ai-powered-garbage-collection,,,,,
FIN-011-Automated-Bookkeeping,Automated Bookkeeping,financial,planned,planned,https://github.com/Worldwidebro/fin-011-automated-bookkeeping,,,,,
FIN-012-Invoice-Factoring-AI,Invoice Factoring Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-012-invoice-factoring-ai,,,,,
FIN-013-Charity-Donation-AI,Charity Donation Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-013-charity-donation-ai,,,,,
FIN-014-Expense-Tracker-AI,Expense Tracker Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-014-expense-tracker-ai,,,,,
FIN-015-Financial-Wellness-Coach,Financial Wellness Coach,financial,planned,planned,https://github.com/Worldwidebro/fin-015-financial-wellness-coach,,,,,
FIN-016-Trade-Finance-AI,Trade Finance Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-016-trade-finance-ai,,,,,
FIN-017-Remittance-AI,Remittance Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-017-remittance-ai,,,,,
FIN-018-Wealth-Transfer-AI,Wealth Transfer Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-018-wealth-transfer-ai,,,,,
FIN-019-Payment-Gateway-AI,Payment Gateway Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-019-payment-gateway-ai,,,,,
FIN-020-Debt-Consolidation-AI,Debt Consolidation Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-020-debt-consolidation-ai,,,,,
FIN-021-Tax-Deduction-Finder,Tax Deduction Finder,financial,planned,planned,https://github.com/Worldwidebro/fin-021-tax-deduction-finder,,,,,
FIN-022-Budget-Forecasting-AI,Budget Forecasting Ai,financial,planned,planned,https://github.com/Worldwidebro/fin-022-budget-forecasting-ai,,,,,
