repo_name,github_url,type,sector,disk_mb,last_pushed,stars,status,notes
civilization-os-infra,https://github.com/Worldwidebro/civilization-os-infra,other,OTHER,751681,2026-07-23,0,ACTIVE,
aibossoslandingpage,https://github.com/Worldwidebro/aibossoslandingpage,other,OTHER,168153,2026-04-16,0,ACTIVE,
iza-os-ai-vision-platform,https://github.com/Worldwidebro/iza-os-ai-vision-platform,os_infrastructure,IZA_OS,158513,2026-04-16,0,ACTIVE,
billionaire-workflow-automation,https://github.com/Worldwidebro/billionaire-workflow-automation,venture,OTHER,158511,2026-04-16,0,ACTIVE,
iza-os-ai-nlp-platform,https://github.com/Worldwidebro/iza-os-ai-nlp-platform,os_infrastructure,IZA_OS,158511,2026-04-16,0,ACTIVE,
iza-os-ai-core-platform,https://github.com/Worldwidebro/iza-os-ai-core-platform,os_infrastructure,IZA_OS,158509,2026-04-16,0,ACTIVE,
iza-os-blockchain-core,https://github.com/Worldwidebro/iza-os-blockchain-core,os_infrastructure,IZA_OS,158509,2026-04-16,0,ACTIVE,
iza-os-ai-optimization-platform,https://github.com/Worldwidebro/iza-os-ai-optimization-platform,os_infrastructure,IZA_OS,158508,2026-04-16,0,ACTIVE,
iza-os-ai-prediction-platform,https://github.com/Worldwidebro/iza-os-ai-prediction-platform,os_infrastructure,IZA_OS,158508,2026-04-16,0,ACTIVE,
billionaire-brain-assistant,https://github.com/Worldwidebro/billionaire-brain-assistant,venture,OTHER,158507,2026-04-16,0,ACTIVE,
iza-os-core,https://github.com/Worldwidebro/iza-os-core,os_infrastructure,IZA_OS,148511,2026-04-16,0,ACTIVE,
Worldwidebro,https://github.com/Worldwidebro/Worldwidebro,other,OTHER,83788,2026-07-24,0,ACTIVE,
iza-os-ecosystem,https://github.com/Worldwidebro/iza-os-ecosystem,os_infrastructure,IZA_OS,60924,2026-05-19,0,ACTIVE,
ec-001-angels-in-daylight,https://github.com/Worldwidebro/ec-001-angels-in-daylight,venture,EC,30743,2026-07-06,0,REVENUE_READY,Ready for launch
career-ops,https://github.com/Worldwidebro/career-ops,other,OTHER,29669,2026-07-25,0,ACTIVE,
ec-112-cosmic-kitty,https://github.com/Worldwidebro/ec-112-cosmic-kitty,venture,EC,22849,2026-07-22,0,REVENUE_READY,Ready for launch
obsidian-vault,https://github.com/Worldwidebro/obsidian-vault,other,OTHER,12546,2026-05-15,0,ACTIVE,
venture-hub,https://github.com/Worldwidebro/venture-hub,venture,OTHER,11577,2026-06-12,0,ACTIVE,
ec-111-miss-toys,https://github.com/Worldwidebro/ec-111-miss-toys,venture,EC,10474,2026-07-21,0,ACTIVE,
