rank,name,total_score,tier,category,stars,language,venture_match_count,strategic_importance,capability_depth,ecosystem_fit,production_readiness,agent_native,business_value,differentiation,maintenance_risk,url
1,Memori,72,A — Major Subsystem,Product,15548,python,0,8,15,15,15,8,5,6,0,https://github.com/MemoriLabs/Memori
2,fli,69,B — Useful Tool,Unclassified,2993,python,0,8,15,15,15,8,3,5,0,https://github.com/punitarani/fli
3,gh-aw-mcpg,66,B — Useful Tool,Unclassified,142,go,0,8,12,15,15,10,3,3,0,https://github.com/github/gh-aw-mcpg
4,brave-search-mcp-server,66,B — Useful Tool,Unclassified,1272,typescript,0,8,12,15,15,8,3,5,0,https://github.com/brave/brave-search-mcp-server
5,git-mcp,64,B — Useful Tool,Unclassified,8238,typescript,0,8,15,15,7,10,3,6,0,https://github.com/idosal/git-mcp
6,venture-hub,63,B — Useful Tool,Unclassified,0,typescript,0,12,15,8,15,10,3,0,0,https://github.com/Worldwidebro/venture-hub
7,easy-vibe,63,B — Useful Tool,Unclassified,17928,javascript,0,8,12,15,12,8,3,6,-1,https://github.com/datawhalechina/easy-vibe
8,Crucix,63,B — Useful Tool,Unclassified,10427,javascript,0,8,15,8,15,8,3,6,0,https://github.com/calesthio/Crucix
9,web-check,63,B — Useful Tool,Unclassified,34096,typescript,0,8,15,8,15,8,3,6,0,https://github.com/lissy93/web-check
10,mobilerun,63,B — Useful Tool,Unclassified,8709,python,91,8,15,8,15,8,3,6,0,https://github.com/droidrun/mobilerun
11,antigravity-awesome-skills,62,B — Useful Tool,Unclassified,42593,python,0,8,15,15,7,8,3,6,0,https://github.com/sickn33/antigravity-awesome-skills
12,ECC,62,B — Useful Tool,Unclassified,227224,javascript,5,8,15,15,7,8,3,6,0,https://github.com/affaan-m/ECC
13,centrifugo,62,B — Useful Tool,Unclassified,10482,go,0,8,15,8,15,4,6,6,0,https://github.com/centrifugal/centrifugo
14,TradingAgents,62,B — Useful Tool,Unclassified,91763,python,1,8,12,8,15,8,3,8,0,https://github.com/TauricResearch/TradingAgents
15,cuvs,61,B — Useful Tool,Unclassified,807,cuda,0,8,15,8,15,8,3,4,0,https://github.com/NVIDIA/cuvs
16,research-processing-pipeline,59,B — Useful Tool,Unclassified,0,python,0,12,15,8,12,10,3,0,-1,https://github.com/Worldwidebro/research-processing-pipeline
17,clawhub,59,B — Useful Tool,Unclassified,9117,typescript,0,8,15,8,7,10,3,8,0,https://github.com/openclaw/clawhub
18,awesome-mcp-servers,59,B — Useful Tool,Unclassified,90448,Unknown,0,8,15,11,3,10,6,6,0,https://github.com/punkpeye/awesome-mcp-servers
19,langextract,58,B — Useful Tool,Unclassified,37097,python,0,8,12,8,15,4,3,8,0,https://github.com/google/langextract
20,context-hub,58,B — Useful Tool,Unclassified,13766,javascript,0,8,15,8,7,8,6,6,0,https://github.com/andrewyng/context-hub
21,netbird,57,B — Useful Tool,Unclassified,26894,go,5,8,15,8,7,8,3,8,0,https://github.com/netbirdio/netbird
22,deepeval,57,B — Useful Tool,Unclassified,16716,python,0,8,15,8,7,10,3,6,0,https://github.com/confident-ai/deepeval
23,SuperClaude_Framework,57,B — Useful Tool,Unclassified,23522,python,0,8,15,8,7,10,3,6,0,https://github.com/SuperClaude-Org/SuperClaude_Framework
24,deep-searcher,56,B — Useful Tool,Unclassified,7934,python,1,8,12,8,15,4,3,6,0,https://github.com/zilliztech/deep-searcher
25,iza-os-ecosystem,55,B — Useful Tool,Unclassified,0,typescript,0,12,15,8,7,8,3,2,0,https://github.com/Worldwidebro/iza-os-ecosystem
26,n8n-workflows,55,B — Useful Tool,Unclassified,55606,python,1,8,15,8,15,0,3,6,0,https://github.com/Zie619/n8n-workflows
27,pathway,55,B — Useful Tool,Unclassified,62716,python,0,8,15,8,7,8,3,6,0,https://github.com/pathwaycom/pathway
28,MiroFish,54,C — Nice-to-have,Unclassified,68126,python,54,6,9,7,15,8,3,6,0,https://github.com/666ghj/MiroFish
29,Software-planning-mcp,54,C — Nice-to-have,Unclassified,393,javascript,0,6,6,13,15,8,3,4,-1,https://github.com/NightTrek/Software-planning-mcp
30,autonomous-venture-studio,53,C — Nice-to-have,Unclassified,0,python,0,12,15,8,12,4,3,0,-1,https://github.com/Worldwidebro/autonomous-venture-studio
31,free-claude-code,53,C — Nice-to-have,Unclassified,39113,python,91,8,15,8,7,4,3,8,0,https://github.com/Alishahryar1/free-claude-code
32,xyops,53,C — Nice-to-have,Unclassified,4555,javascript,1,8,12,8,15,0,3,7,0,https://github.com/pixlcore/xyops
33,mcp,53,C — Nice-to-have,Asset,6784,typescript,0,8,12,11,3,10,3,6,0,https://github.com/BrowserMCP/mcp
34,paseo,52,C — Nice-to-have,Unclassified,10022,typescript,1,8,12,8,7,8,3,6,0,https://github.com/getpaseo/paseo
35,oh-my-claudecode,52,C — Nice-to-have,Unclassified,37556,typescript,91,8,12,8,7,8,3,6,0,https://github.com/Yeachan-Heo/oh-my-claudecode
36,superpowers,52,C — Nice-to-have,Unclassified,249340,shell,0,8,12,8,7,8,3,6,0,https://github.com/obra/superpowers
37,alertmanager,52,C — Nice-to-have,Unclassified,8527,go,0,8,12,8,15,0,3,6,0,https://github.com/prometheus/alertmanager
38,lazyssh,52,C — Nice-to-have,Unclassified,3698,go,0,8,15,8,7,4,3,7,0,https://github.com/Adembc/lazyssh
39,DeepCode,52,C — Nice-to-have,Unclassified,15972,python,91,8,12,8,7,8,3,6,0,https://github.com/HKUDS/DeepCode
40,iza-os-finance-advisor-optimization-bot,51,C — Nice-to-have,Unclassified,0,python,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-finance-advisor-optimization-bot
41,iza-os-inventory-management-security-bot,51,C — Nice-to-have,Unclassified,0,typescript,2,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-inventory-management-security-bot
42,iza-os-inventory-management-integration-bot,51,C — Nice-to-have,Unclassified,0,typescript,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-inventory-management-integration-bot
43,iza-os-inventory-management-compliance-bot,51,C — Nice-to-have,Unclassified,0,typescript,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-inventory-management-compliance-bot
44,iza-os-inventory-management-reporting-bot,51,C — Nice-to-have,Unclassified,0,typescript,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-inventory-management-reporting-bot
45,iza-os-project-management-synthesis-bot,51,C — Nice-to-have,Unclassified,0,python,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-project-management-synthesis-bot
46,iza-os-project-management-orchestration-bot,51,C — Nice-to-have,Unclassified,0,python,65,12,15,8,12,4,3,0,-3,https://github.com/Worldwidebro/iza-os-project-management-orchestration-bot
47,claude-plugins-official,51,C — Nice-to-have,Unclassified,31785,python,0,8,12,11,3,8,3,6,0,https://github.com/anthropics/claude-plugins-official
48,mcp-registry,51,C — Nice-to-have,Unclassified,511,go,0,6,9,14,7,8,3,4,0,https://github.com/docker/mcp-registry
49,iza-os-tree-of-life,50,C — Nice-to-have,Unclassified,0,python,0,12,15,11,0,10,3,0,-1,https://github.com/Worldwidebro/iza-os-tree-of-life
50,iza-os-inventory-management-analytics-bot,50,C — Nice-to-have,Unclassified,0,typescript,0,12,12,8,12,4,3,0,-1,https://github.com/Worldwidebro/iza-os-inventory-management-analytics-bot
