venture_id,capability
FIN-001-GenixBank-Lite,analytics
FIN-001-GenixBank-Lite,api
FIN-001-GenixBank-Lite,authentication
FIN-001-GenixBank-Lite,dashboard
FIN-001-GenixBank-Lite,database
FIN-001-GenixBank-Lite,payments
FIN-001-GenixBank-Lite,portfolio
FIN-001-GenixBank-Lite,security
FIN-002-Credit-Repair-Automation,analytics
FIN-002-Credit-Repair-Automation,api
FIN-002-Credit-Repair-Automation,authentication
FIN-002-Credit-Repair-Automation,automation
FIN-002-Credit-Repair-Automation,dashboard
FIN-002-Credit-Repair-Automation,database
FIN-002-Credit-Repair-Automation,payments
FIN-002-Credit-Repair-Automation,portfolio
FIN-002-Credit-Repair-Automation,security
FIN-003-AI-Boss-Hub-Lite,analytics
FIN-003-AI-Boss-Hub-Lite,api
FIN-003-AI-Boss-Hub-Lite,authentication
FIN-003-AI-Boss-Hub-Lite,dashboard
FIN-003-AI-Boss-Hub-Lite,database
FIN-003-AI-Boss-Hub-Lite,llm
FIN-003-AI-Boss-Hub-Lite,payments
FIN-003-AI-Boss-Hub-Lite,portfolio
FIN-003-AI-Boss-Hub-Lite,security
FIN-004-GenixBanks-AI-Treasurer,analytics
FIN-004-GenixBanks-AI-Treasurer,api
FIN-004-GenixBanks-AI-Treasurer,authentication
FIN-004-GenixBanks-AI-Treasurer,dashboard
FIN-004-GenixBanks-AI-Treasurer,database
FIN-004-GenixBanks-AI-Treasurer,llm
FIN-004-GenixBanks-AI-Treasurer,payments
FIN-004-GenixBanks-AI-Treasurer,portfolio
FIN-004-GenixBanks-AI-Treasurer,security
FIN-005-U-Haul-Rental-Affiliate,analytics
FIN-005-U-Haul-Rental-Affiliate,api
FIN-005-U-Haul-Rental-Affiliate,authentication
FIN-005-U-Haul-Rental-Affiliate,dashboard
FIN-005-U-Haul-Rental-Affiliate,database
FIN-005-U-Haul-Rental-Affiliate,payments
FIN-005-U-Haul-Rental-Affiliate,portfolio
FIN-005-U-Haul-Rental-Affiliate,security
FIN-006-Tax-Prep-Filing-Services,analytics
FIN-006-Tax-Prep-Filing-Services,api
FIN-006-Tax-Prep-Filing-Services,authentication
FIN-006-Tax-Prep-Filing-Services,dashboard
FIN-006-Tax-Prep-Filing-Services,database
FIN-006-Tax-Prep-Filing-Services,payments
FIN-006-Tax-Prep-Filing-Services,portfolio
FIN-006-Tax-Prep-Filing-Services,security
FIN-007-Business-Credit-Building,analytics
FIN-007-Business-Credit-Building,api
FIN-007-Business-Credit-Building,authentication
FIN-007-Business-Credit-Building,construction
FIN-007-Business-Credit-Building,dashboard
FIN-007-Business-Credit-Building,database
FIN-007-Business-Credit-Building,payments
FIN-007-Business-Credit-Building,portfolio
FIN-007-Business-Credit-Building,security
FIN-008-Business-Formation-Services,analytics
FIN-008-Business-Formation-Services,api
FIN-008-Business-Formation-Services,authentication
FIN-008-Business-Formation-Services,dashboard
FIN-008-Business-Formation-Services,database
FIN-008-Business-Formation-Services,payments
FIN-008-Business-Formation-Services,portfolio
FIN-008-Business-Formation-Services,security
FIN-009-Crypto-Tax-Optimizer,analytics
FIN-009-Crypto-Tax-Optimizer,api
FIN-009-Crypto-Tax-Optimizer,authentication
FIN-009-Crypto-Tax-Optimizer,dashboard
FIN-009-Crypto-Tax-Optimizer,database
FIN-009-Crypto-Tax-Optimizer,payments
FIN-009-Crypto-Tax-Optimizer,portfolio
FIN-009-Crypto-Tax-Optimizer,security
FIN-010-AI-Powered-Garbage-Collection,analytics
FIN-010-AI-Powered-Garbage-Collection,api
FIN-010-AI-Powered-Garbage-Collection,authentication
FIN-010-AI-Powered-Garbage-Collection,dashboard
FIN-010-AI-Powered-Garbage-Collection,database
FIN-010-AI-Powered-Garbage-Collection,llm
FIN-010-AI-Powered-Garbage-Collection,payments
FIN-010-AI-Powered-Garbage-Collection,portfolio
FIN-010-AI-Powered-Garbage-Collection,security
FIN-011-Automated-Bookkeeping,analytics
FIN-011-Automated-Bookkeeping,api
FIN-011-Automated-Bookkeeping,authentication
FIN-011-Automated-Bookkeeping,dashboard
FIN-011-Automated-Bookkeeping,database
FIN-011-Automated-Bookkeeping,payments
FIN-011-Automated-Bookkeeping,portfolio
FIN-011-Automated-Bookkeeping,security
FIN-012-Invoice-Factoring-AI,analytics
FIN-012-Invoice-Factoring-AI,api
FIN-012-Invoice-Factoring-AI,authentication
FIN-012-Invoice-Factoring-AI,dashboard
FIN-012-Invoice-Factoring-AI,database
FIN-012-Invoice-Factoring-AI,llm
FIN-012-Invoice-Factoring-AI,payments
FIN-012-Invoice-Factoring-AI,portfolio
FIN-012-Invoice-Factoring-AI,security
FIN-013-Charity-Donation-AI,analytics
FIN-013-Charity-Donation-AI,api
FIN-013-Charity-Donation-AI,authentication
FIN-013-Charity-Donation-AI,dashboard
FIN-013-Charity-Donation-AI,database
FIN-013-Charity-Donation-AI,llm
FIN-013-Charity-Donation-AI,payments
FIN-013-Charity-Donation-AI,portfolio
FIN-013-Charity-Donation-AI,security
FIN-014-Expense-Tracker-AI,analytics
FIN-014-Expense-Tracker-AI,api
FIN-014-Expense-Tracker-AI,authentication
FIN-014-Expense-Tracker-AI,dashboard
FIN-014-Expense-Tracker-AI,database
FIN-014-Expense-Tracker-AI,llm
FIN-014-Expense-Tracker-AI,payments
FIN-014-Expense-Tracker-AI,portfolio
FIN-014-Expense-Tracker-AI,security
FIN-015-Financial-Wellness-Coach,analytics
FIN-015-Financial-Wellness-Coach,api
FIN-015-Financial-Wellness-Coach,authentication
FIN-015-Financial-Wellness-Coach,dashboard
FIN-015-Financial-Wellness-Coach,database
FIN-015-Financial-Wellness-Coach,payments
FIN-015-Financial-Wellness-Coach,portfolio
FIN-015-Financial-Wellness-Coach,security
FIN-016-Trade-Finance-AI,analytics
FIN-016-Trade-Finance-AI,api
FIN-016-Trade-Finance-AI,authentication
FIN-016-Trade-Finance-AI,dashboard
FIN-016-Trade-Finance-AI,database
FIN-016-Trade-Finance-AI,llm
FIN-016-Trade-Finance-AI,payments
FIN-016-Trade-Finance-AI,portfolio
FIN-016-Trade-Finance-AI,security
FIN-017-Remittance-AI,analytics
FIN-017-Remittance-AI,api
FIN-017-Remittance-AI,authentication
FIN-017-Remittance-AI,dashboard
FIN-017-Remittance-AI,database
FIN-017-Remittance-AI,llm
FIN-017-Remittance-AI,payments
FIN-017-Remittance-AI,portfolio
FIN-017-Remittance-AI,security
FIN-018-Wealth-Transfer-AI,analytics
FIN-018-Wealth-Transfer-AI,api
FIN-018-Wealth-Transfer-AI,authentication
FIN-018-Wealth-Transfer-AI,dashboard
FIN-018-Wealth-Transfer-AI,database
FIN-018-Wealth-Transfer-AI,llm
FIN-018-Wealth-Transfer-AI,payments
FIN-018-Wealth-Transfer-AI,portfolio
FIN-018-Wealth-Transfer-AI,security
FIN-019-Payment-Gateway-AI,analytics
FIN-019-Payment-Gateway-AI,api
FIN-019-Payment-Gateway-AI,authentication
FIN-019-Payment-Gateway-AI,dashboard
FIN-019-Payment-Gateway-AI,database
FIN-019-Payment-Gateway-AI,llm
FIN-019-Payment-Gateway-AI,payments
FIN-019-Payment-Gateway-AI,portfolio
FIN-019-Payment-Gateway-AI,security
FIN-020-Debt-Consolidation-AI,analytics
FIN-020-Debt-Consolidation-AI,api
FIN-020-Debt-Consolidation-AI,authentication
FIN-020-Debt-Consolidation-AI,dashboard
FIN-020-Debt-Consolidation-AI,database
FIN-020-Debt-Consolidation-AI,llm
FIN-020-Debt-Consolidation-AI,payments
FIN-020-Debt-Consolidation-AI,portfolio
FIN-020-Debt-Consolidation-AI,security
FIN-021-Tax-Deduction-Finder,analytics
FIN-021-Tax-Deduction-Finder,api
FIN-021-Tax-Deduction-Finder,authentication
FIN-021-Tax-Deduction-Finder,dashboard
FIN-021-Tax-Deduction-Finder,database
FIN-021-Tax-Deduction-Finder,payments
FIN-021-Tax-Deduction-Finder,portfolio
FIN-021-Tax-Deduction-Finder,security
FIN-022-Budget-Forecasting-AI,analytics
FIN-022-Budget-Forecasting-AI,api
FIN-022-Budget-Forecasting-AI,authentication
FIN-022-Budget-Forecasting-AI,dashboard
FIN-022-Budget-Forecasting-AI,database
FIN-022-Budget-Forecasting-AI,llm
FIN-022-Budget-Forecasting-AI,payments
FIN-022-Budget-Forecasting-AI,portfolio
FIN-022-Budget-Forecasting-AI,security
FIN-023-Investment-Portfolio-AI,analytics
FIN-023-Investment-Portfolio-AI,api
FIN-023-Investment-Portfolio-AI,authentication
FIN-023-Investment-Portfolio-AI,dashboard
FIN-023-Investment-Portfolio-AI,database
FIN-023-Investment-Portfolio-AI,llm
FIN-023-Investment-Portfolio-AI,payments
FIN-023-Investment-Portfolio-AI,portfolio
FIN-023-Investment-Portfolio-AI,security
FIN-024-Crowdfunding-AI,analytics
FIN-024-Crowdfunding-AI,api
FIN-024-Crowdfunding-AI,authentication
FIN-024-Crowdfunding-AI,dashboard
FIN-024-Crowdfunding-AI,database
FIN-024-Crowdfunding-AI,llm
FIN-024-Crowdfunding-AI,payments
FIN-024-Crowdfunding-AI,portfolio
FIN-024-Crowdfunding-AI,security
FIN-025-Escrow-Automation,analytics
FIN-025-Escrow-Automation,api
FIN-025-Escrow-Automation,authentication
FIN-025-Escrow-Automation,automation
FIN-025-Escrow-Automation,dashboard
FIN-025-Escrow-Automation,database
FIN-025-Escrow-Automation,payments
FIN-025-Escrow-Automation,portfolio
FIN-025-Escrow-Automation,security
FIN-026-Financial-Compliance-Scanner,analytics
FIN-026-Financial-Compliance-Scanner,api
FIN-026-Financial-Compliance-Scanner,authentication
FIN-026-Financial-Compliance-Scanner,dashboard
FIN-026-Financial-Compliance-Scanner,database
FIN-026-Financial-Compliance-Scanner,payments
FIN-026-Financial-Compliance-Scanner,portfolio
FIN-026-Financial-Compliance-Scanner,security
