repo,venture_id,name,sector,band,completion_est,signal_quality,has_code,has_dashboard,has_payments,notes
ec-044-live-commerce-platform,EC-044-Live-Commerce-Platform,Live Commerce Platform,e-commerce,growth,85,stage-band-estimate,,,,no numeric completion field; banded from development_stage=growth
ec-046-3d-product-viewer,EC-046-3D-Product-Viewer,3D Product Viewer,e-commerce,growth,85,stage-band-estimate,,,,no numeric completion field; banded from development_stage=growth
edu-017-ai-coding-tutor,EDU-017-AI-Coding-Tutor,Ai Coding Tutor,education,growth,85,stage-band-estimate,,,,no numeric completion field; banded from development_stage=growth
fin-036-arbitrage-nexus-platform,FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,growth,85,stage-band-estimate,,,,no numeric completion field; banded from development_stage=growth
con-001-ace-construction,CON-001,Ace Construction,construction,validation,60,measured,True,True,True,
fh-001-personal-chef-service,FH-001-Personal-Chef-Service,Personal Chef Service,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-002-meal-prep-delivery,FH-002-Meal-Prep-Delivery,Meal Prep Delivery,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-005-corporate-lunch-service,FH-005-Corporate-Lunch-Service,Corporate Lunch Service,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-006-healthy-meal-prep-for-gyms,FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-008-athlete-nutrition-service,FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-011-sauce-or-seasoning-brand,FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
fh-012-protein-snacks-brand,FH-012-Protein-Snacks-Brand,Protein Snacks Brand,food-hospitality,mvp,60,stage-band-estimate,,,,no numeric completion field; banded from development_stage=mvp
