venture_id,venture_name,sector,tier,department,control_type,revenue_model,capability_score,confidence,top_repo,dependencies
484ac493-c394-4ca1-aa18-e514a8844312,VitalSense,health,5,INFRASTRUCTURE,PLATFORM,system-fees,0.00,low,LightRAG,none
a4edc8b5-1635-4e87-85eb-bfcc9e168697,Tax Intelligence Platform,fintech,3,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,knowledge-graph|semantic-search|database
65bcab5b-f1b9-425c-963a-674db3c88f2e,Civilization OS,infra,3,INFRASTRUCTURE,PLATFORM,system-fees,0.00,low,LightRAG,knowledge-graph|semantic-search|database
a816b258-9f64-471b-98cf-85682d14589b,Credit Repair Automation,fintech,1,INTELLIGENCE_LAYER,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
8daa80d5-9dc6-4f36-ae07-531d75b141c3,Ai Jewelry Match,market,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
c3420a69-2d33-48d6-b5bd-eae1021e86e2,Ai Boss Hub Lite,fintech,3,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,knowledge-graph|semantic-search|database
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,Genixbanks Ai Treasurer,fintech,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
6864b44d-111b-4f8f-9d86-70c7576ba018,U Haul Rental Affiliate,fintech,2,REAL_ESTATE,BROKER,margin,0.00,low,LightRAG,api|matching|dashboard
da7741e1-3e05-4949-9a87-cfdd2d70d256,Business Credit Building,fintech,1,INFRASTRUCTURE,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
37827f2a-b6dc-4218-a578-d96cb004b1f0,Business Formation Services,fintech,5,INFRASTRUCTURE,PLATFORM,system-fees,0.00,low,LightRAG,none
a12d6916-eb38-49ad-8293-17a68098b94f,Crypto Tax Optimizer,fintech,1,INFRASTRUCTURE,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
f2271f17-3ca5-4e9d-9518-bab57abef224,Ai Powered Garbage Collection,fintech,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
db540a0b-9916-4c91-b31c-e6390b861032,Automated Bookkeeping,fintech,1,INFRASTRUCTURE,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
2456b3b6-1012-4c1c-ace0-0f100383fda2,Invoice Factoring Ai,fintech,1,INTELLIGENCE_LAYER,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
994cd260-66b9-4291-84bc-98f04cd9a7f1,Charity Donation Ai,fintech,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,Expense Tracker Ai,fintech,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
af84081d-f743-43b4-9871-c257fcfaf870,Wealth Transfer Ai,fintech,5,INTELLIGENCE_LAYER,PLATFORM,system-fees,0.00,low,LightRAG,none
6364ddf9-5003-46c7-b3ee-06947120b0dc,Payment Gateway Ai,fintech,1,INTELLIGENCE_LAYER,FIRM,hourly/project,0.00,low,LightRAG,infrastructure|payment|security
