ID,Name,Description,Sector,Status
dd78dc7f-ab6a-4c1f-9405-b0cbd827ae0d,QuantumLedger,Core decentralized ledger and smart contract code for fintech,fintech,active
fbf1cfaf-d3e5-413e-9880-5e6944cd3cf5,CogniFlow,AI-powered workflow management and orchestration platform,ai,active
4f3bc116-b77f-4b3a-a9f6-a3327a21762d,SkillForge,AI-powered learning platform with automated course creation,edtech,active
484ac493-c394-4ca1-aa18-e514a8844312,VitalSense,Wearable health monitoring system with real-time analytics,health,active
a4edc8b5-1635-4e87-85eb-bfcc9e168697,Tax Intelligence Platform,AI-powered tax preparation and intelligence platform,fintech,active
65bcab5b-f1b9-425c-963a-674db3c88f2e,Civilization OS,"Master orchestrator managing 245 repos, 553 AI agents, 100+ ventures",infra,active
a816b258-9f64-471b-98cf-85682d14589b,Credit Repair Automation,Credit Repair Automation,fintech,active
c3420a69-2d33-48d6-b5bd-eae1021e86e2,Ai Boss Hub Lite,Ai Boss Hub Lite,fintech,active
8d5aaff7-e742-4eca-8bb5-dbe1a84fff26,Genixbanks Ai Treasurer,Genixbanks Ai Treasurer,fintech,active
6864b44d-111b-4f8f-9d86-70c7576ba018,U Haul Rental Affiliate,U Haul Rental Affiliate,fintech,active
da7741e1-3e05-4949-9a87-cfdd2d70d256,Business Credit Building,Business Credit Building,fintech,active
37827f2a-b6dc-4218-a578-d96cb004b1f0,Business Formation Services,Business Formation Services,fintech,active
a12d6916-eb38-49ad-8293-17a68098b94f,Crypto Tax Optimizer,Crypto Tax Optimizer,fintech,active
f2271f17-3ca5-4e9d-9518-bab57abef224,Ai Powered Garbage Collection,Ai Powered Garbage Collection,fintech,active
db540a0b-9916-4c91-b31c-e6390b861032,Automated Bookkeeping,Automated Bookkeeping,fintech,active
2456b3b6-1012-4c1c-ace0-0f100383fda2,Invoice Factoring Ai,Invoice Factoring Ai,fintech,active
994cd260-66b9-4291-84bc-98f04cd9a7f1,Charity Donation Ai,Charity Donation Ai,fintech,active
a2192e41-9b9d-4d1a-8f84-bed3ecd9d653,Expense Tracker Ai,Expense Tracker Ai,fintech,active
01f74934-8d29-4292-86d9-4a5c6af217ed,Trade Finance Ai,Trade Finance Ai,fintech,active
d0ac1d6c-7634-49ef-b53b-1a9d5cad627f,Remittance Ai,Remittance Ai,fintech,active
af84081d-f743-43b4-9871-c257fcfaf870,Wealth Transfer Ai,Wealth Transfer Ai,fintech,active
6364ddf9-5003-46c7-b3ee-06947120b0dc,Payment Gateway Ai,Payment Gateway Ai,fintech,active
54e48239-6fe9-4a4c-8559-d10072f4673a,Debt Consolidation Ai,Debt Consolidation Ai,fintech,active
987c8140-a75c-4ba6-a401-fe9f9835b963,Tax Deduction Finder,Tax Deduction Finder,fintech,active
55c975e3-18d8-4af6-be4c-dc5be06d881d,Budget Forecasting Ai,Budget Forecasting Ai,fintech,active
30a407a5-4af5-42e5-8400-e5df314732e2,Investment Portfolio Ai,Investment Portfolio Ai,fintech,active
e43ada0c-5456-42a0-b676-4b45e962ccb0,Business Template Marketplace,487+ AI-powered business templates with automated generation,market,active
b9c1c9a3-5927-480c-857d-6b99be35254b,Enhanced Cursor Rules,487+ comprehensive Cursor rules for AI development,devtools,active
e0c4a3d9-eebb-40c4-94fc-778c2799ecb8,Housing Assistance Ai,Housing Assistance Ai,market,active
963b382c-a761-465c-b417-02501d107650,Credit Repair Automation,Credit Repair Automation,fintech,active
bdf2e0fb-7dde-478e-a48e-d363192d733c,Ai Boss Hub Lite,Ai Boss Hub Lite,fintech,active
31814643-600d-495d-8d8e-200317f998bf,U Haul Rental Affiliate,U Haul Rental Affiliate,fintech,active
3ca65cde-afba-402a-a609-514162c04b49,Tax Prep Filing Services,Tax Prep Filing Services,fintech,active
146ed62c-d9e8-4285-b2c8-8b852dbfa76b,Business Credit Building,Business Credit Building,fintech,active
e8306358-7f14-4b3a-85e2-38c42a2025c5,Business Formation Services,Business Formation Services,fintech,active
762cb3e5-3aad-4234-9035-0792b876af01,Crypto Tax Optimizer,Crypto Tax Optimizer,fintech,active
48078344-8da1-4ee7-8dba-049b8b3e0ec6,Ai Powered Garbage Collection,Ai Powered Garbage Collection,fintech,active
